ID,ENTITY_FULL_NAME,CLUSTER_WORLD,GRADE,WHAT,WHY,PARENT_CHILD_RELATION,MAY_SHARE_VISIT_BLOCK,COORD_ACCESS_CONFIDENCE,COVERAGE_STATUS,FINAL_CALENDAR_DISPOSITION,SOURCE_PROVENANCE,STABLE_SOURCE_ID
KUM-13,Sattal / Seven Lakes (Kumaon),Kumaon,A*,"Multi-lake forested area, practical walk ~3-4 km / 60-90 min",Scenic enrichment possibility on the Haidakhan->Nainital base-change day,"SKIP_FIRST corridor-bycatch, not a dedicated excursion; only if true-road geometry/daylight/energy allow","Conditional — only as an add-on to the Haidakhan->Nainital transfer day, otherwise SKIP_FIRST","Exact true Haidakhan->Nainital winter road geometry is P0/unresolved, so Sattal's practicality is not yet decidable",SPECIAL_STATUS,,KUMAON_COMPLETE_EXECUTION_DRAFT_2026-08-26.md,NOT_IN_PERMANENT_REGISTRY
KUM-14,Sakley's Restaurant & Pastry Shop (Nainital),Kumaon,A*,Historic bakery/restaurant in Nainital,Food/coffee interest layered onto an already-required Nainital stop,Standalone; food/FINAL-COMFORT-adjacent item with an explicit A* grade already assigned,"Yes, naturally fits arrival into Nainital as food/coffee if practical",Known venue; not independently re-verified here,SPECIAL_STATUS,,KUMAON_COMPLETE_EXECUTION_DRAFT_2026-08-26.md,NOT_IN_PERMANENT_REGISTRY
KUM-15,Kakrighat (also recorded as Karkrighat in later governance files) (Kumaon),Kumaon,A*,"Riverside/ghat site on the Kosi/Almora-side branch, associated with a documented spiritual encounter",Personally resonant pilgrimage bycatch on the Nainital->Dunagiri corridor,"SKIP_FIRST corridor-bycatch, bundled onto the same corridor as KUM-09/KUM-24, not a separate day","Yes — bundled into the K6 transit day, first item to drop if the day runs long","Spelling variance noted: 'Kakrighat' (KUMAON_COMPLETE_EXECUTION_DRAFT) vs 'Karkrighat' (CURRENT_STATE.md/SUCCESSOR_SAFE_STATE.md) — same site, not two entities",SPECIAL_STATUS,,KUMAON_COMPLETE_EXECUTION_DRAFT_2026-08-26.md; governance/CURRENT_STATE.md; governance/SUCCESSOR_SAFE_STATE.md,NOT_IN_PERMANENT_REGISTRY
KUM-16,"Dwarahat historic temple groups (Dwarahat, Kumaon)",Kumaon,A*,Cluster of historic stone temple groups at Dwarahat,"General-traveler/architectural interest, corridor bycatch near the Dunagiri approach",SKIP_FIRST corridor-bycatch on the same K6 transit day,Only if daylight/arrival remains comfortable after KUM-09/KUM-15,Site known; not independently re-verified here,SPECIAL_STATUS,,KUMAON_COMPLETE_EXECUTION_DRAFT_2026-08-26.md,NOT_IN_PERMANENT_REGISTRY
AGR-01,Taj Mahal (Agra East Gate core),Agra,A+,"White-marble mausoleum, UNESCO World Heritage Site, personally visited historically by Paramahansa Yogananda",Sole fixed-core Agra reason to be there; Yogananda historical-photo onsite memory cue required,"Standalone parent, sole protected Agra sightseeing anchor","No — the whole Agra rule is Taj-only, no filler sightseeing to bundle around it",Well-known monument; opening hours/Friday-closure pattern = LIVE_RECHECK_LATER on the actual date,BINDING_NOT_YET_PDF_AUDITED,,decisions/AGRA_TAJ_ONLY_DEPART_ASAP_MARK_DECISION_2026-09-09.md; DECISION_LEDGER DL-0011/DL-0048; decisions/AGRA_TAJ_MAHAL_YOGANANDA_ONSITE_MEMORY_CUE_2026-08-31.md,NOT_IN_PERMANENT_REGISTRY
AGR-02,Bedai at Deviram's (Agra),Agra,A,Specific Agra breakfast food item/vendor (bedai),Special-interest food grade for Mark,"Standalone FINAL-COMFORT-adjacent food item, zero independent day/night weight","Yes — fits inside the Agra morning/waiting window, not a separate stop",Vendor known from prior traveler-layer research; not independently re-verified here,FINAL_COMFORT_ZERO_INDEPENDENT_WEIGHT,,governance/CURRENT_DECISIONS_MASTER.md sec.8,NOT_IN_PERMANENT_REGISTRY
AGR-03,Petha (Agra),Agra,A,Agra's characteristic petha (candied ash-gourd sweet),Special-interest food/sweets grade for Mark,Standalone FINAL-COMFORT-adjacent food item,"Yes, incidental purchase, no dedicated slot",Not independently re-verified here,FINAL_COMFORT_ZERO_INDEPENDENT_WEIGHT,,governance/CURRENT_DECISIONS_MASTER.md sec.8,NOT_IN_PERMANENT_REGISTRY
AGR-04,Gajak (Agra),Agra,A,Agra-area gajak (sesame-jaggery sweet),Special-interest food grade for Mark,Standalone FINAL-COMFORT-adjacent food item,"Yes, incidental purchase, no dedicated slot",Not independently re-verified here,FINAL_COMFORT_ZERO_INDEPENDENT_WEIGHT,,governance/CURRENT_DECISIONS_MASTER.md sec.8,NOT_IN_PERMANENT_REGISTRY
BOD-01,Mahabodhi Temple Complex + Bodhi Tree (Bodh Gaya),Bodh Gaya,A+,"UNESCO World Heritage Buddhist temple complex marking the site of the Buddha's enlightenment, with the Bodhi Tree",Central spiritual anchor of the Bodh Gaya world for Mark,Parent of the protected pilgrimage day (walk-out sequence with BOD-02/BOD-03),Yes — first stop of the protected Mahabodhi->Sujata->Dungeshwari walk-out day,GEO_VERIFIED per corrected registry,BINDING_NOT_YET_PDF_AUDITED,,DECISION_LEDGER DL-0031; runs/active/INDIA10-CLUSTER-COVERAGE-REAUDIT-001/BODHGAYA_VERIFIED_MAP_COORDINATES_2026-08-29.md,PERMANENT-046
BOD-02,Sujata Stupa (Bodh Gaya),Bodh Gaya,A+,Stupa marking the site associated with Sujata's offering to the Buddha,"Buddhist pilgrimage significance, part of the protected walk-out sequence",Second stop of the same protected pilgrimage-day sequence as BOD-01/BOD-03,"Yes, same protected day",GEO_VERIFIED per corrected registry,BINDING_NOT_YET_PDF_AUDITED,,DECISION_LEDGER DL-0031; BODHGAYA_VERIFIED_MAP_COORDINATES_2026-08-29.md,PERMANENT-047
BOD-03,Dungeshwari / Mahakala Caves (near Bodh Gaya),Bodh Gaya,A+,Cave complex associated with the Buddha's pre-enlightenment ascetic period,Buddhist pilgrimage significance; includes the same-hill ridge context (BOD-05),Third stop of the protected walk-out/prearranged-car-back sequence; parent to the ridge/context item BOD-05,"Yes, same protected day; ridge/context (BOD-05) shares this stop physically",GEO_VERIFIED per corrected registry,BINDING_NOT_YET_PDF_AUDITED,,DECISION_LEDGER DL-0030/DL-0040; BODHGAYA_VERIFIED_MAP_COORDINATES_2026-08-29.md,PERMANENT-048
BOD-04,Great Buddha Statue (Bodh Gaya),Bodh Gaya,A,Large seated Buddha statue landmark in Bodh Gaya,General-traveler/Buddhist-heritage landmark content,"Standalone, near the international monastery belt","Yes, can bundle with international monastery belt viewing",Site known; not independently re-verified here,BINDING_NOT_YET_PDF_AUDITED,,DECISION_LEDGER DL-0030/DL-0031,PERMANENT-049
BOD-05,"Ancient Pragbodhi/Dungeshwari stupa ridge (adjacent to Dungeshwari/Mahakala Caves, Bodh Gaya)",Bodh Gaya,A,"Ancient Buddhist stupa ruins (remains of seven early stupas) on the ridge immediately above the Dungeshwari/Mahakala ascetic caves, with valley views","Extends the Dungeshwari pilgrimage experience with the same-hill ancient stupa remains; Mark will certainly try to walk upward when already at the caves, terrain/safety permitting","Physically the same hill/site as BOD-03 Dungeshwari — must not be double-counted as a separate excursion, but must also not disappear",Yes — inherently shares the same stop as BOD-03; the audit finding is precisely that this was OMITTED from the working PDF despite being part of the same physical site,"Same site as BOD-03, GEO_VERIFIED per corrected registry; SAME-HILL ONLY / ZERO EXTRA ROUTE WEIGHT -- attempt only if terrain/access is safe and clear; never creates an extra day/night/detour",MISSING,,"decisions/DUNGESHWARI_STUPA_RIDGE_A_MARK_DECISION_2026-08-29.md; decisions/BODHGAYA_PILGRIMAGE_WALK_DAY_MARK_DECISION_2026-08-29.md; decisions/BODHGAYA_CLUSTER_CLOSURE_MARK_DECISION_2026-08-29.md; decisions/FULL_A_COVERAGE_AND_GLOBAL_ROUTE_TOPOLOGY_REOPTIMIZATION_2026-09-09.md sec.3 item 1 -- CORRECTED identity: named generically as ""same-hill ridge/viewpoint/context"" in the prior packet draft; the owning decision files give it a specific recognizable identity.",NOT_IN_PERMANENT_REGISTRY
BOD-06,"Rajgir Brahmakund hot springs (Rajgir, near Bodh Gaya)",Bodh Gaya,A*,Natural hot springs at Rajgir,Only relevant as natural corridor bycatch if Rajgir is already on-route; NOT a dedicated excursion,ONLY_IF_NATURAL_CORRIDOR_BYCATCH / SKIP_FIRST — explicitly not a dedicated A excursion,"No — current expected Bodh corridor does not naturally pass Rajgir, so no Rajgir day is currently allocated",Rajgir is roughly 7-9h round trip from Bodh Gaya per prior evidence; not worth a dedicated day per Mark's explicit correction,SPECIAL_STATUS,,DECISION_LEDGER DL-0040 (supersedes an earlier simplified A lock and DL-0032 batch placement),NOT_IN_PERMANENT_REGISTRY
VNS-01,Manikarnika Ghat (Varanasi),Varanasi/Sarnath,A+,"Primary cremation ghat on the Ganges, one of Varanasi's most significant sacred sites",Deep experiential/spiritual anchor for Mark; final content block of its day with no hard end time,Parent; Ratneshwar Mahadev (VNS-05) is a child site within/beside it,Yes — Ratneshwar Mahadev (VNS-05) precedes it on the same day/block,Site well-known; not independently re-verified here,BINDING_NOT_YET_PDF_AUDITED,,DECISION_LEDGER DL-0028; VARANASI_LP_MARK_TIME_DECISIONS_2026-08-27.md item 10,PERMANENT-003
VNS-02,"New Bhrigu Karyalaya / Bhadury Sadan (Ramapura-Luxa, Varanasi)",Varanasi/Sarnath,A+,Astrological consultation site connected to the Book of Bhrigu tradition,"Mark's Swami Kriyananda / Book of Bhrigu motivation, not generic astrology tourism",Standalone; LOCKED_BY_MARK; must never be scheduled on the same day as Manikarnika,No — explicit rule: never schedule on Manikarnika day,Site known; Delhi Bhrigu is backup only if Varanasi fails,BINDING_NOT_YET_PDF_AUDITED,,DECISION_LEDGER DL-0029,NOT_IN_PERMANENT_REGISTRY
VNS-03,Dashashwamedh Ghat / Shitala riverfront world incl. evening Ganga Aarti (Varanasi),Varanasi/Sarnath,A+,Main riverfront ghat; nightly Ganga Aarti fire-ceremony viewing position,One of Mark's explicitly named defining India experiences,"Parent riverfront world; the evening Ganga Aarti is A+ child/experience coverage inside it, not a separate new anchor",Yes — Aarti is the evening child-experience of this same A+ world,Site well-known; 2-hour full-evening block explicitly desired by Mark,BINDING_NOT_YET_PDF_AUDITED,,VARANASI_LP_MARK_TIME_DECISIONS_2026-08-27.md item 5,PERMANENT-009
VNS-04,"Sarnath sacred-archaeological world (Dhamek Stupa + Deer Park + museum complex, Sarnath)",Varanasi/Sarnath,A+,Buddhist sacred-archaeological complex ~10km from Varanasi marking the Buddha's first sermon,Confirmed by Mark to remain A+ after an explicit distance/combinability re-review,"Parent world; Dhamek Stupa, Mulagandha Kuti Vihara, Chaukhandi Stupa and Deer Park (VNS-14 to VNS-17) are children currently HIDDEN inside this broad label in the working PDF","Yes, internally bundleable with the A Shreyansanath Jain Tirth per canon; ~2.5-3h onsite plus travel","~13.2km road distance Assi Ghat->Sarnath Museum, ~30-45min each way in traffic per prior evidence",BINDING_NOT_YET_PDF_AUDITED,,VARANASI_LP_MARK_TIME_DECISIONS_2026-08-27.md item 11,PERMANENT-006
VNS-05,"Ratneshwar Mahadev leaning river temple (Manikarnika, Varanasi)",Varanasi/Sarnath,A+,Leaning temple partly submerged near Manikarnika Ghat,Distinctive physical landmark within the Manikarnika world,"Child of VNS-01 Manikarnika, precedes it in sequence","Yes, precedes VNS-01 on the same day/block; Mark wants 1 hour on-site excluding travel",Site well-known landmark; not independently re-verified here,BINDING_NOT_YET_PDF_AUDITED,,VARANASI_LP_MARK_TIME_DECISIONS_2026-08-27.md item 10,PERMANENT-038
VNS-06,"Banarasi paan (Old City, Varanasi)",Varanasi/Sarnath,A,Varanasi's characteristic paan (betel-leaf preparation),Fun local-culture item if already there/passing through,Standalone FINAL-COMFORT-adjacent food item,"Yes, only if already passing through, no dedicated day",1 hour reserved; not independently re-verified here,FINAL_COMFORT_ADJACENT_SMALL_TIME_RESERVATION_1H,,VARANASI_LP_MARK_TIME_DECISIONS_2026-08-27.md item 1,NOT_IN_PERMANENT_REGISTRY
VNS-07,"Bengali Tola-Thatheri Bazaar-Chowk lanes (Old Kashi, Varanasi)",Varanasi/Sarnath,A,"Old-city lane/bazaar walk through Bengali Tola, Thatheri Bazaar and Chowk",General-traveler human-texture interest; Mark is interested but does not want a dedicated day,"Standalone, preferred as a route-through corridor toward another destination","Yes, route THROUGH it toward a selected destination; 1 hour reserved",Lane network well-known; not independently re-verified here,BINDING_NOT_YET_PDF_AUDITED,,VARANASI_LP_MARK_TIME_DECISIONS_2026-08-27.md item 8,NOT_IN_PERMANENT_REGISTRY
VNS-08,Assi-Tulsi riverfront slow dawn ghat walk (Varanasi),Varanasi/Sarnath,A,Slow walking experience along the Assi-Tulsi riverfront ghats at dawn,Contemplative dawn riverfront experience distinct from other dawn blocks,Standalone; must not be silently merged with VNS-09 or VNS-10 merely to save nights,No forced merge — Mark explicitly wants this preserved as its own distinct 3-hour block,Well-known riverfront zone; not independently re-verified here,BINDING_NOT_YET_PDF_AUDITED,,VARANASI_LP_MARK_TIME_DECISIONS_2026-08-27.md item 12,NOT_IN_PERMANENT_REGISTRY
VNS-09,"Subah-e-Banaras, Assi Ghat (Varanasi)",Varanasi/Sarnath,A,Morning cultural/musical riverside program at Assi Ghat,Distinct recommended morning experience Mark accepted,Standalone; must remain distinct from VNS-08 and VNS-10,No forced merge with the other dawn experiences,Well-known program; exact schedule = LIVE_RECHECK_LATER,BINDING_NOT_YET_PDF_AUDITED,,VARANASI_LP_MARK_TIME_DECISIONS_2026-08-27.md item 13,NOT_IN_PERMANENT_REGISTRY
VNS-10,Ganges dawn rowboat (Varanasi),Varanasi/Sarnath,A,"Rowboat experience on the Ganges at dawn, ~90-120 min rowing plus embark/disembark margin",Iconic Varanasi river experience with its own protected 2.5-hour block,Standalone; must not be automatically merged with VNS-08/VNS-09,No forced merge — Mark explicitly wants a distinct 2.5-hour block,Well-known activity; boat operator/exact timing = LIVE_RECHECK_LATER,BINDING_NOT_YET_PDF_AUDITED,,VARANASI_LP_MARK_TIME_DECISIONS_2026-08-27.md item 14,NOT_IN_PERMANENT_REGISTRY
VNS-11,Maa Annapurna Temple (Varanasi),Varanasi/Sarnath,A,"Temple dedicated to Annapurna, near the Kashi Vishwanath temple zone",Retained current A/A+ canon site per the full-coverage audit,"Standalone, part of the Old City temple microcluster","Likely bundleable with the Kashi Vishwanath/Old City zone visit, not independently confirmed in this packet",Not independently re-verified in this packet; LIVE_RECHECK_LATER on exact access,MISSING,,decisions/FULL_A_COVERAGE_AND_GLOBAL_ROUTE_TOPOLOGY_REOPTIMIZATION_2026-09-09.md sec.3 item 2,PERMANENT-014
VNS-12,Vishalakshi Gauri Temple (Varanasi),Varanasi/Sarnath,A,Shakti Peetha temple in the Old City temple zone,Retained current A/A+ canon site per the full-coverage audit,"Standalone, part of the Old City temple microcluster","Likely bundleable with the Old City temple zone visit, not independently confirmed in this packet",Not independently re-verified in this packet; LIVE_RECHECK_LATER on exact access,MISSING,,decisions/FULL_A_COVERAGE_AND_GLOBAL_ROUTE_TOPOLOGY_REOPTIMIZATION_2026-09-09.md sec.3 item 3,PERMANENT-017
VNS-13,Bhaskarananda Samadhi / Anand Bagh (Varanasi),Varanasi/Sarnath,CONFLICT_UNRESOLVED,Samadhi shrine and garden site of the ascetic Bhaskarananda,Samadhi/memorial garden of the 19th-century Varanasi ascetic saint Swami Bhaskarananda; personal ascetic-lineage/devotional interest for a Varanasi pilgrimage circuit. GRADE IS DISPUTED -- see CLOSED_FACTS_OPEN_VARIABLES.md Category 4 conflict register entry CR-1 before treating as A or B.,Standalone,Not independently confirmed in this packet,Not independently re-verified in this packet; LIVE_RECHECK_LATER on exact access,"CONFLICT_UNRESOLVED -- see conflict register (CLOSED_FACTS_OPEN_VARIABLES.md Category 4, CR-1)",,"PROTECTED_CANON_BASELINE.csv id 028 (A, 2026-08-02) and decisions/FULL_A_COVERAGE_AND_GLOBAL_ROUTE_TOPOLOGY_REOPTIMIZATION_2026-09-09.md sec.3 item 4 (A) CONFLICT with runs/active/INDIA10-CLUSTER-COVERAGE-REAUDIT-001/CURRENT_OLD_A_PROMOTION_MASTER.md (2026-08-24, RESOLVED B) and runs/active/INDIA10-CLUSTER-COVERAGE-REAUDIT-001/A_PLUS_MARK_DECISION_LOG.md sec 'LATEST VARANASI ORDINARY GRADES -- MARK 2026-08-27' (B). Not resolved by CCI; see conflict register.",PERMANENT-028
VNS-14,Dhamek Stupa (Sarnath),Varanasi/Sarnath,A,Large Buddhist stupa marking the site of the Buddha's first sermon,Core Buddhist pilgrimage landmark inside the Sarnath world,Child of VNS-04 Sarnath sacred-archaeological world,"Yes, inherently part of the same Sarnath visit block as VNS-04/VNS-15/VNS-16/VNS-17",Same as VNS-04,HIDDEN_IN_CLUSTER,,decisions/FULL_A_COVERAGE_AND_GLOBAL_ROUTE_TOPOLOGY_REOPTIMIZATION_2026-09-09.md sec.3 item 9,PERMANENT-029
VNS-15,Mulagandha Kuti Vihara (Sarnath),Varanasi/Sarnath,A,"Modern Buddhist temple with murals depicting the Buddha's life, within the Sarnath complex",Core Buddhist pilgrimage/art content inside the Sarnath world,Child of VNS-04,"Yes, same Sarnath visit block",Same as VNS-04,HIDDEN_IN_CLUSTER,,decisions/FULL_A_COVERAGE_AND_GLOBAL_ROUTE_TOPOLOGY_REOPTIMIZATION_2026-09-09.md sec.3 item 10,PERMANENT-030
VNS-16,Chaukhandi Stupa (Sarnath),Varanasi/Sarnath,A,Stupa marking the traditional site where the Buddha met his first five disciples,Buddhist pilgrimage landmark near the Sarnath complex,Child of VNS-04,"Yes, same Sarnath visit block/vicinity",Same as VNS-04,HIDDEN_IN_CLUSTER,,decisions/FULL_A_COVERAGE_AND_GLOBAL_ROUTE_TOPOLOGY_REOPTIMIZATION_2026-09-09.md sec.3 item 11,PERMANENT-031
VNS-17,Deer Park (Sarnath),Varanasi/Sarnath,A,"Deer park within the Sarnath archaeological complex, traditional site of the first sermon",Buddhist pilgrimage/nature content inside the Sarnath world,Child of VNS-04,"Yes, same Sarnath visit block",Same as VNS-04,HIDDEN_IN_CLUSTER,,decisions/FULL_A_COVERAGE_AND_GLOBAL_ROUTE_TOPOLOGY_REOPTIMIZATION_2026-09-09.md sec.3 item 12,PERMANENT-033
VNS-18,Saranganath Temple (Sarnath),Varanasi/Sarnath,A,Temple in the Sarnath area distinct from the Buddhist stupa complex,Retained current A/A+ canon site per the full-coverage audit,"Standalone, near but distinct from the VNS-04 Buddhist complex",Not independently confirmed in this packet,Not independently re-verified in this packet; LIVE_RECHECK_LATER on exact access,MISSING,,decisions/FULL_A_COVERAGE_AND_GLOBAL_ROUTE_TOPOLOGY_REOPTIMIZATION_2026-09-09.md sec.3 item 5,PERMANENT-034
