A_ID,source_id,location,physical_description,linked_people,exact_event_or_presence,PHYSICAL_LINK_CLASS,meaningful_subplace,evidence_sources,strongest_FOR,strongest_AGAINST,WORK_RELEVANCE_SIGNAL,dwell,new_fact
A019,BOD-07,International monastery belt,"Collection of modern national Buddhist monasteries",Gautama Buddha;living monastic communities,"Institutional practice lineages occupy modern compounds; no Buddha lifetime event at each",DIRECT_INSTITUTIONAL,"choose one active prayer hall rather than façade sweep","frozen ledger BOD-07 provenance; clock PDF; Bihar tourism","Living cross-cultural Buddhist practice can be encountered","A belt-drive can become architecture sampling without depth",MIXED,SIT_60M_OR_MORE,"Relevance rises sharply only when one functioning monastery is entered and sat in"
A020,BOD-02,Sujata Stupa,"Brick stupa at Bakraur commemorating Sujata's offering",Gautama Buddha;Sujata,"Tradition locates Sujata's milk-rice offering/house here; current stupa is later",UNCERTAIN,"stupa mound and Bakraur village context","frozen ledger BOD-02 provenance; clock PDF; ASI/Bihar tourism descriptions","Crucial embodied turning point from extreme austerity to Middle Way","Exact house/event spot is traditional and the monument postdates the event",VERY_STRONG,SIT_60M_OR_MORE,"Inscribed/archaeological commemoration does not make exact-event coordinates certain"
A021,BOD-03,Dungeshwari / Mahakala Caves,"Cave-shrine complex in Pragbodhi hills",Gautama Buddha,"Tradition places years of pre-enlightenment austerity in these caves",EXACT_LIFE_SITE,"main Buddha cave/shrine and ridge approach","frozen ledger BOD-03 provenance; clock PDF; Bihar tourism/ASI descriptions","Direct austere pre-enlightenment landscape with physical cave target","Precise cave attribution is traditional and access can be physically demanding",VERY_STRONG,PILGRIMAGE_BLOCK,"Its importance is the failed-austerity phase, not enlightenment itself"
A022,BOD-05,Ancient Pragbodhi/Dungeshwari stupa ridge,"Archaeological stupa remains/ridge above cave world",Gautama Buddha,"Commemorates Buddha's austerity landscape; exact point attribution uncertain",UNCERTAIN,"stupa remains and ridge sightline toward Bodh Gaya","frozen ledger BOD-05 provenance; clock PDF; archaeological descriptions","Adds landscape comprehension beyond the shrine cave","Can duplicate A021 and rests on uncertain micro-location",MIXED,VISIT,"Treat ridge as landscape archaeology, not another exact Buddha room"
A023,VNS-21,Shitala Mata Temple,"Living goddess shrine at Dashashwamedh zone",NONE,"No exact Top-11/AOAY event established",NAME_ONLY_OR_NO_PERSON_LINK,"sanctum threshold and local worship practice","frozen ledger VNS-21 provenance; clock PDF; Varanasi district tourism","Immediate living ritual texture before the river ceremony","Short stop may be crowded and has no person-provenance anchor",MIXED,VISIT,"Independent value is vernacular worship, not named-person history"
A024,VNS-03,Dashashwamedh Ghat + evening Ganga Aarti,"Major river ghat and nightly public ritual",Babaji's sister Mataji;Ram Gopal Muzumdar;Mahavatar Babaji,"AOAY narrative places Babaji/Mataji manifestation to Ram Gopal at Dashashwamedh Ghat",EXACT_LIFE_SITE,"ghat steps; separately locate narrative encounter zone if evidence permits","frozen ledger VNS-03 provenance; clock PDF; AOAY text/project provenance","Rare exact AOAY miracle-memory layered onto a major living ritual","Exact stair/landing is not established and mass aarti can eclipse the quieter narrative",VERY_STRONG,PILGRIMAGE_BLOCK,"Person-provenance is far stronger than a generic Ganga Aarti label shows"
A025,VNS-10,Ganges dawn rowboat,"Moving dawn experience on the Ganges",NONE,"No exact fixed priority-person event attached to this particular boat/route",NAME_ONLY_OR_NO_PERSON_LINK,"boat vantage across ghats","frozen ledger VNS-10 provenance; clock PDF; Varanasi tourism","Exceptional spatial reading of the sacred city","Not a stable physical person-site and dependent on weather/river rules",STRONG,PILGRIMAGE_BLOCK,"Classify as whole-city encounter, not exact-life-site"
A026,VNS-27,Shri Kashi Vishwanath Temple,"Living Jyotirlinga temple in old Varanasi",NONE,"No exact Top-11 event established in frozen provenance",NAME_ONLY_OR_NO_PERSON_LINK,"main sanctum/darshan axis","frozen ledger VNS-27 provenance; clock PDF; https://shrikashivishwanath.org/","Independent Hindu pilgrimage heavyweight","Current fabric is rebuilt; security and queues can dominate",STRONG,PILGRIMAGE_BLOCK,"Its case does not require a manufactured Top-11 link"
A027,VNS-11,Maa Annapurna Temple,"Living Annapurna shrine beside Kashi Vishwanath",NONE,"No exact priority-person event established",NAME_ONLY_OR_NO_PERSON_LINK,"sanctum and food-goddess ritual context","frozen ledger VNS-11 provenance; clock PDF; Varanasi district tourism","Natural theological pair with Vishwanath","Small adjacent stop can become checklist duplication",MIXED,VISIT,"Meaning is relational to the Kashi temple pair, not person provenance"
A028,VNS-12,Vishalakshi Gauri Temple,"Shakti shrine in old-city lanes",NONE,"No exact priority-person event established",NAME_ONLY_OR_NO_PERSON_LINK,"sanctum and lane approach","frozen ledger VNS-12 provenance; clock PDF; local temple sources","Recognized Shakti-pilgrimage node with intimate scale","Micro-site identity and access claims vary across traditions",MIXED,VISIT,"Tradition-level identity should remain explicit"
A029,VNS-07,Bengali Tola–Thatheri Bazaar–Chowk lanes,"Dense lived old-city lane network",NONE,"No single exact person event frozen",NAME_ONLY_OR_NO_PERSON_LINK,"selected lane sequence and ordinary street life","frozen ledger VNS-07 provenance; clock PDF; Varanasi district tourism","Essential human texture and orientation between monuments","Hard to define as one auditable site; crowd burden high",STRONG,SIT_60M_OR_MORE,"This is an urban-world experience, not a point POI"
A030,VNS-06,Banarasi paan,"Local food/ritual consumption experience",NONE,"No priority-person event",NAME_ONLY_OR_NO_PERSON_LINK,"named hygienic vendor to be live-selected","frozen ledger VNS-06 provenance; clock PDF","Compact sensory marker of Varanasi culture","No fixed site or person link; quality/health variability",WEAK,VISIT,"Requires a named outlet for physical auditability"
A031,VNS-37,Kabir Chaura Math,"Kabir-lineage monastery in the Kabir Chaura locality",Kabir,"Math tradition was institutionalized by disciple Surat Gopal; locality/home claims relate to Kabir",UNCERTAIN,"Kabir chaura/home-memory; Niru Tila or identifiable relic room if open","frozen ledger VNS-37 provenance; clock PDF; Kabir Chaura Math histories","Living lineage in the locality most associated with Kabir's Varanasi life","Exact Kabir residence/birth claims are contested; present institution is later",STRONG,SIT_60M_OR_MORE,"Do not equate disciple-founded math fabric with a proven Kabir-era exact room"
A032,VNS-08,Assi–Tulsi slow dawn ghat walk,"Slow pedestrian river-edge experience connecting south ghats",Tulsidas,"Passes Tulsidas-associated Tulsi Ghat but parent walk has no single exact event",NAME_ONLY_OR_NO_PERSON_LINK,"river steps and transition into Tulsi Ghat","frozen ledger VNS-08 provenance; clock PDF","Good contemplative container connecting several individual A-sites","Parent experience duplicates children and can obscure their individual meaning",STRONG,PILGRIMAGE_BLOCK,"Keep parent walk analytically separate from A033-A035"
A033,VNS-28,Assi Ghat,"Major southern ghat and dawn public space",NONE,"No exact priority-person event established",NAME_ONLY_OR_NO_PERSON_LINK,"river steps at first light","frozen ledger VNS-28 provenance; clock PDF; Varanasi district tourism","Strong dawn atmosphere and civic-religious life","Overlap with A032 and A037; no person anchor",MIXED,SIT_30M,"Its relevance is time-of-day/place practice, not provenance"
A034,VNS-39,Tulsi Ghat,"Historic southern ghat associated with Tulsidas",Tulsidas,"Tradition/history places Tulsidas's residence and work here",EXACT_LIFE_SITE,"Tulsidas house/relic-manuscript area if verifiably open","frozen ledger VNS-39 provenance; clock PDF; Sankat Mochan/Tulsi Akhara histories","Encounterable life geography of a major poet-saint","Exact accessible room/relic display and hours need verification",STRONG,SIT_30M,"The meaningful target is the Tulsidas house layer, not merely the ghat name"
A035,VNS-40,Lolark Kund,"Ancient stepped sacred tank near Tulsi Ghat",NONE,"No exact Top-11/AOAY event established",NAME_ONLY_OR_NO_PERSON_LINK,"kund edge and axial descent","frozen ledger VNS-40 provenance; clock PDF; Varanasi heritage sources","Unusual living fertility/solar ritual architecture","Ordinary January visit lacks the major festival practice",MIXED,VISIT,"Season strongly changes experiential relevance"
A036,VNS-26,Shree Shree Ma Anandamayi Ashram Bhadaini,"Living ashram founded in the Bhadaini locality",Anandamayi Ma,"Ashram established in 1945 and repeatedly used by Ma; specific Yogananda meeting did not occur here",EXACT_LIFE_SITE,"Ma's room/shrine or documented sitting space if accessible","frozen ledger VNS-26 provenance; clock PDF; https://www.shreeshreeanandamayeesangha.org/; commit 55f4498","Direct repeated Anandamayi Ma presence and living practice","Do not relocate unrelated Yogananda-Anandamayi encounters to Bhadaini",VERY_STRONG,SIT_60M_OR_MORE,"Exact Ma life-site remains strong after removing the false meeting implication"
A037,VNS-09,Subah-e-Banaras at Assi Ghat,"Programmed dawn music/yoga/ritual event",NONE,"No exact priority-person event",NAME_ONLY_OR_NO_PERSON_LINK,"Assi morning stage and river ritual area","frozen ledger VNS-09 provenance; clock PDF; official Subah-e-Banaras listings","Concrete living arts-and-ritual event","Duplicates Assi dawn coverage and schedule is operationally variable",MIXED,SIT_60M_OR_MORE,"Value depends on the event actually operating that morning"
A038,VNS-02,New Bhrigu Karyalaya / Bhadury Sadan,"Current Bhadury-family astrology institution in Varanasi",Kriyananda;Bhadury family,"Institutional/family continuity; Kriyananda's documented 1959 reading was in Barnala Punjab, not here",DIRECT_INSTITUTIONAL,"current consultation room and archive/family context","frozen ledger VNS-02 provenance; clock PDF; BHRIGU_BHADURY_A_PLUS_OPERATIONAL_CLOSURE; commit 55f4498","Potential living continuation of the Bhrigu-reading practice Mark values","The famous personal reading is not an exact event of this Varanasi building",MIXED,PILGRIMAGE_BLOCK,"Major correction: Barnala is the 1959 Kriyananda event site"
A039,VNS-20,Lahiri Mahasaya original/family house,"Historic family residence in Bengali Tola",Lahiri Mahasaya;Yogananda lineage,"Lahiri lived and taught householders here; lineage pilgrims visit the residence",EXACT_LIFE_SITE,"documented room/courtyard/shrine inside the family house","frozen ledger VNS-20 provenance; clock PDF; https://anandapilgrimages.org/; YSS lineage sources","Core exact-life-site of householder Kriya yoga","Access is highly restricted/seasonal and exact open room must be confirmed",VERY_STRONG,PILGRIMAGE_BLOCK,"Some pilgrimage sources report opening only around Guru Purnima—January access is a critical uncertainty"
A040,VNS-24,Lahiri Mahasaya Samadhi / Satyalok,"Family-lineage shrine preserving Lahiri memorial/samadhi matter",Lahiri Mahasaya,"Later samadhi/ashes lineage site rather than ordinary residence",MEMORIAL_OR_SUCCESSOR,"samadhi/ashes shrine and meditation room","frozen ledger VNS-24 provenance; clock PDF; https://anandapilgrimages.org/","Physically concentrated Lahiri remembrance with family continuity","Memorial status and access are not equivalent to his original house",VERY_STRONG,SIT_60M_OR_MORE,"Taxonomy should distinguish samadhi relic site from exact lived residence"
A041,VNS-30,Sankat Mochan Hanuman Temple,"Living Hanuman temple founded in Tulsidas tradition",Tulsidas,"Tradition says founded where Tulsidas had Hanuman darshan",EXACT_LIFE_SITE,"Hanuman sanctum and Tulsidas-associated founding spot","frozen ledger VNS-30 provenance; clock PDF; official temple history","Exact devotional turning-point tradition plus vigorous living worship","Darshan-location claim is devotional tradition and security can limit sitting",STRONG,SIT_60M_OR_MORE,"Person-event meaning is stronger than generic south-temple wording"
A042,VNS-31,Durga Temple and Durga Kund,"Historic red Durga temple and adjacent tank",NONE,"No exact priority-person event established",NAME_ONLY_OR_NO_PERSON_LINK,"sanctum threshold and kund","frozen ledger VNS-31 provenance; clock PDF; Varanasi tourism","Coherent living Shakti complex with water architecture","No Top-11/AOAY provenance and possible overlap with other goddess shrines",MIXED,VISIT,"Independent Shakti value should be stated without person inflation"
A043,VNS-33,Kedareshwar Temple and Kedar Ghat,"South-Indian-inflected Shiva temple/ghat complex",NONE,"No exact priority-person event established",NAME_ONLY_OR_NO_PERSON_LINK,"temple sanctum and colored river façade","frozen ledger VNS-33 provenance; clock PDF; Varanasi heritage sources","Distinct neighborhood-scale Kashi worship world","Long allocation may exceed provenance-based depth",MIXED,SIT_60M_OR_MORE,"Relevance is living temple-world rather than named biography"
A044,VNS-41,Adi Keshava Ghat + Temple,"Vishnu temple at Ganga-Varuna confluence",NONE,"No exact priority-person event established",NAME_ONLY_OR_NO_PERSON_LINK,"confluence view and Adi Keshava shrine","frozen ledger VNS-41 provenance; clock PDF; Varanasi sacred geography sources","Strong geographic endpoint and ancient Kashi cosmology","Remote start adds burden and no Top-11 anchor",MIXED,SIT_30M,"Its strongest meaning is confluence geography"
A045,VNS-25,Shri Tailanga Swami Math,"Math/temple preserving Trailanga Swami memory",Trailanga Swami;Lahiri Mahasaya,"Trailanga lived in this Panchganga world; Lahiri visited/meditated with him in lineage accounts",EXACT_LIFE_SITE,"Trailanga shrine/room or relic focus","frozen ledger VNS-25 provenance; clock PDF; AOAY/lineage sources","Concrete intersection of Trailanga and Lahiri/Yogananda narrative worlds","Some longevity/miracle details are hagiographic and exact-room access uncertain",STRONG,SIT_30M,"Lahiri relationship makes this more than a generic saint memorial"
A046,VNS-29,Panchganga Ghat,"Historic five-river-confluence ghat",Trailanga Swami;Lahiri Mahasaya,"Trailanga's long residence/practice landscape; Lahiri visited him here",EXACT_LIFE_SITE,"specific Trailanga platform/temple zone if identifiable","frozen ledger VNS-29 provenance; clock PDF; AOAY/Varanasi histories","Exact broader life geography supporting A045","Without locating the micro-site it risks being only a quick ghat glance",STRONG,SIT_30M,"A045 and A046 are complementary building versus landscape, not duplicates"
A047,VNS-36,Bindu Madhav Temple,"Current successor temple of the historic Bindu Madhav shrine",NONE,"Ancient shrine history; present temple postdates destruction/rebuilding",MEMORIAL_OR_SUCCESSOR,"current sanctum and Panchganga sightline","frozen ledger VNS-36 provenance; clock PDF; Varanasi heritage histories","Important surviving continuity in Panchganga sacred geography","Present fabric is not the famous earlier temple and has no priority-person event",MIXED,VISIT,"Successor-site taxonomy prevents historic-fabric overstatement"
A048,VNS-34,Lalita Ghat,"Nepal-associated river ghat beside old city",NONE,"No exact priority-person event established",NAME_ONLY_OR_NO_PERSON_LINK,"river steps and approach to Nepali Temple","frozen ledger VNS-34 provenance; clock PDF; Varanasi heritage sources","Strong visual/spatial transition to A049","Thin standalone content and adjacent duplication",WEAK,VISIT,"Best understood as setting for the temple rather than an independent provenance anchor"
A049,VNS-35,Nepali / Kathwala Temple,"Nepalese pagoda-style Shiva temple above Lalita Ghat",NONE,"No exact priority-person event established",NAME_ONLY_OR_NO_PERSON_LINK,"wood-carved temple courtyard/sanctum","frozen ledger VNS-35 provenance; clock PDF; Varanasi heritage sources","Distinct architectural and trans-Himalayan layer","No named-person link; opening/access can be irregular",MIXED,VISIT,"Architectural specificity is the primary case"
A050,VNS-32,Sankatha Devi Temple,"Living goddess temple in old Varanasi",NONE,"No exact priority-person event established",NAME_ONLY_OR_NO_PERSON_LINK,"sanctum and neighborhood worship","frozen ledger VNS-32 provenance; clock PDF; local temple sources","Authentic local devotional practice","One of many goddess stops; limited differentiating provenance",WEAK,VISIT,"Needs a sharper independent reason than checklist completeness"
A051,VNS-05,Ratneshwar Mahadev leaning river temple,"Photogenic partially submerged leaning Shiva temple",NONE,"No exact priority-person event established",NAME_ONLY_OR_NO_PERSON_LINK,"exterior river/ghat viewpoint; interior usually inaccessible","frozen ledger VNS-05 provenance; clock PDF; Varanasi heritage sources","Singular physical form and river-time imagery","A+ grade cannot be justified by person provenance; claims about origin/lean vary",MIXED,LOOK,"Its strongest case is visual/material, not exact spiritual biography"
A052,VNS-01,Manikarnika Ghat,"Primary active cremation ghat of Varanasi",Lahiri Mahasaya,"Lahiri Mahasaya was cremated here; broader moksha practice continues",EXACT_LIFE_SITE,"cremation-ground edge viewed respectfully; no intrusive close approach","frozen ledger VNS-01 provenance; clock PDF; Lahiri/YSS biographies; Varanasi sources","Exact final-life geography of Lahiri plus overwhelming living mortuary reality","Ethical burden, smoke/crowds and no-photo respect constrain dwell",VERY_STRONG,PILGRIMAGE_BLOCK,"Major understatement correction: this is Lahiri Mahasaya's cremation place"
A053,VNS-04,Sarnath sacred-archaeological world,"Integrated archaeological and living pilgrimage landscape",Gautama Buddha,"Buddha delivered the first sermon and established the Sangha here",EXACT_LIFE_SITE,"whole Dharmachakra-pravartana landscape; children A054-A060 remain distinct","frozen ledger VNS-04 provenance; clock PDF; ASI https://artsandculture.google.com/story/sarnath-turning-the-wheel-of-law-archaeological-survey-of-india/kQWR2ftWElFKKQ?hl=en","Foundational Buddhist event-world of global importance","Parent world can double-count children unless used as synthesis",VERY_STRONG,PILGRIMAGE_BLOCK,"The parent is a landscape meaning layer, not an eighth point stop"
A054,VNS-16,Chaukhandi Stupa,"Monumental stupa marking approach/reunion tradition",Gautama Buddha;first five disciples,"Tradition marks Buddha's reunion with the five ascetics before the sermon",EXACT_LIFE_SITE,"stupa mound and sightline toward main Sarnath core","frozen ledger VNS-16 provenance; clock PDF; ASI Sarnath","Distinct pre-sermon encounter within the Sarnath sequence","Visible structure is later and exact coordinates are commemorative tradition",STRONG,VISIT,"Narrative role is reunion, not the first sermon itself"
A055,VNS-38,Sarnath Archaeological Museum,"Purpose-built museum holding excavated Sarnath originals",Gautama Buddha;Ashoka,"Holds original Lion Capital and major first-sermon Buddha sculpture; museum itself is modern",MEMORIAL_OR_SUCCESSOR,"Lion Capital; Dharmachakra Buddha; labeled provenances","frozen ledger VNS-38 provenance; clock PDF; ASI Sarnath","Original objects give evidentiary density unavailable outdoors","No lifetime Buddha event in museum building; closure/security rules",STRONG,SIT_60M_OR_MORE,"Object-level provenance is stronger than building-level provenance"
A056,VNS-14,Dhamek Stupa,"Massive ancient stupa at Sarnath's sermon core",Gautama Buddha,"Tradition identifies vicinity with first turning of the Dharma wheel",EXACT_LIFE_SITE,"stupa circumambulation and adjacent archaeological core","frozen ledger VNS-14 provenance; clock PDF; ASI Sarnath","Most concentrated physical marker of the first sermon","Existing fabric is later than Buddha; exact sermon point cannot be archaeologically pinpointed",VERY_STRONG,SIT_60M_OR_MORE,"State event-locus confidence separately from monument date"
A057,VNS-17,Deer Park,"Open park/monastic landscape at Sarnath",Gautama Buddha;first five disciples,"Broader landscape of first sermon and earliest Sangha",EXACT_LIFE_SITE,"quiet green space near Dhamek rather than generic zoo-style park","frozen ledger VNS-17 provenance; clock PDF; ASI Sarnath","Restores landscape and sitting dimension to an archaeological visit","Boundaries and modern landscaping do not equal ancient Deer Park limits",VERY_STRONG,SIT_30M,"Meaningful when used for sitting, weak if treated as another photo stop"
A058,VNS-15,Mulagandha Kuti Vihara,"Modern Mahabodhi Society temple with murals and relic devotion",Gautama Buddha;Anagarika Dharmapala,"Modern institutional memorial; Buddha relics are enshrined/displayed only on specified festivals",MEMORIAL_OR_SUCCESSOR,"main Buddha image; Kosetsu Nosu murals; relic shrine context","frozen ledger VNS-15 provenance; clock PDF; Mahabodhi Society/Sarnath temple information","Living worship and major modern Buddhist art","Not ancient Mulagandhakuti; relic display is generally not available in January",STRONG,SIT_30M,"New operational fact: do not promise visible relics on 10 January"
A059,VNS-23,Shreyansanath Jain Tirth,"Modern Jain temple at Singhpuri/Sarnath",Shreyansanath Tirthankara,"Jain tradition places four kalyanakas/birth world here; present temple dates to modern era",UNCERTAIN,"principal shrine and traditional kalyanaka locus","frozen ledger VNS-23 provenance; clock PDF; Jain tirth histories","Adds a genuine non-Buddhist sacred layer to Sarnath","Exact ancient event spot is faith tradition and no Top-11/AOAY link",MIXED,SIT_30M,"Current temple and claimed ancient birthplace must not be collapsed"
