A_NUMBER,SOURCE_ID,GRADE,PLACE_NAME,PLAIN_DUTCH_WHAT_IS_IT,PRIORITY_PERSONS,PERSON_WAS_PHYSICALLY_HERE,LINK_TYPE,WHAT_HAPPENED_HERE_EXACTLY,EXACT_SUBPLACE_MARK_SHOULD_SEEK,WHY_MARK_WOULD_CARE,ORIGINAL_A_OR_A_PLUS_REASON,ORIGINAL_PROVENANCE_FILES_OR_COMMENTS,EVIDENCE_STRENGTH,CONTEMPLATIVE_DWELL_RECOMMENDATION,PRESENTATION_WARNING
A011,KUM-01,A+,Haidakhan Vishwa Mahadham / Haidakhan Ashram,"Werkend ashram-, tempel- en riviercomplex bij het dorp Haidakhan, tevens de slaapbasis voor drie nachten.","Haidakhan Babaji (een aparte, 20e-eeuwse figuur - NIET dezelfde claim als de Mahavatar Babaji uit AOAY)",YES,EXACT_LIFE_SITE; EXACT_RESIDENCE; EXACT_TEACHING_SITE; PERSON_FOUNDED_SITE (herbouwd); EXACT_DEATH_SAMADHI_ASHES_SITE,"In 1970 verscheen een stralende jonge asceet, later bekend als Haidakhan Babaji, in een grot bij het dorp Haidakhan; hij herbouwde het Haidakhan-ashram en verscheidene tempels in de omgeving (met de claim dat dit oude gewijde plekken waren), onderwees hier en reisde vanaf 1971 door heel India, met een groeiend aantal westerse volgelingen en bekende bezoekers zoals Bollywood-acteur Shammi Kapoor. Hij overleed (mahasamadhi) hier op 14 februari 1984 en werd in het Haidakhan-ashram begraven.",Het ashram-/tempelcomplex; zijn samadhi-/grafschrijn binnen het complex (exacte schrijn versus de grot - zie hiaat in gaps-bestand).,"Twee volledige beschermde rustdagen op de plek waar deze goed gedocumenteerde 20e-eeuwse leraar zijn hele publieke leven doorbracht, onderwees, stierf en begraven werd.",KUMAON_DURATION_MARK_DECISION_2026-08-27.md: Marks expliciete keuze voor 3 nachten/2 volle dagen.,"Websearch 2026-09-11 (Wikipedia 'Haidakhan Babaji'; babajiashram.org; haidakhandisamaj.in) - repo-onderzoek bevatte geen diepgaand Haidakhan-Babaji-persoonsdossier, alleen KUMAON_COMPLETE_EXECUTION_DRAFT_2026-08-26.md en A_PLUS_MARK_DECISION_LOG.md ('Haidakhan Babaji-pelgrimsashram'); decisions/BABAJI_MYTHIC_FIGURE_EVIDENCE_RULE_2026-08-19.md (aparte claimant-traditie-eis).","STERK voor de historische feiten van zijn 20e-eeuwse publieke leven (meerdere onafhankelijke bronnen); zijn eigen goddelijke/avatar-status blijft een devotionele/traditiekwestie, net als bij andere heiligen in dit project.","Twee volle, onthaaste dagen (reeds beschermd door Mark); geen sightseeing-tempo.","MATIG - huidige kaart ('Working ashram/temple/river complex... important: does not silently equate Haidakhan Babaji with AOAY's Mahavatar Babaji') is al goed op het identiteitspunt, maar onderspeelt dat dit letterlijk de verschijnings- (1970) en sterfplek (1984) is. Til dit concreter op dan 'werkend ashram... rustige dagen'."
A012,KUM-02,A+,Historic Haidakhan cave / gufa,Historische grot aan de riverside/gufa-zijde van het Haidakhan-ashramterrein.,Haidakhan Babaji,YES,EXACT_LIFE_SITE (verschijningsplek),"Volgens de Haidakhan-traditie en onafhankelijke bronnen verscheen Haidakhan Babaji in 1970 in een grot bij de voet van de Kumaon-berg Kailash, aan de overkant van de rivier tegenover het dorp Haidakhan - dit wordt binnen het ashramcomplex geïdentificeerd als deze historische grot/gufa.",De grot-ingang/het grotinterieur zelf.,"Het letterlijke startpunt van Haidakhan Babaji's hele gedocumenteerde publieke bediening, fysiek binnen hetzelfde ashramterrein.","KUMAON_COMPLETE_EXECUTION_DRAFT_2026-08-26.md: 'same ashram/gufa world, not a separate regional excursion'.",A_PLUS_MARK_DECISION_LOG.md: 'grot aan de gufa-zijde van het Haidakhan-ashram waar de Haidakhan-traditie Babaji's verschijning in 1970 plaatst'; websearch 2026-09-11 (Wikipedia 'Haidakhan Babaji').,MATIG-STERK - consistent tussen webbronnen en het project's eigen decision log; een kleine geografische nuance ('aan de overkant van de rivier tegenover het dorp' vs. project-formulering 'binnen dezelfde ashram/gufa-wereld') is niet volledig uitgesloten - zie gaps-bestand.,"30-45 min, gecombineerd met A011.","MATIG - huidige kaart ('Historic cave/gufa within the ashram world... physically distinct devotional point') onderspeelt dat dit specifiek de verschijningsgrot van 1970 is, niet zomaar 'een historische grot'."
A013,AGR-02,A,Bedai at Deviram's (Agra),Specifiek Agra-ontbijtgerecht (bedai) bij een met naam genoemde verkoper.,Geen,UNKNOWN,INDIRECT_CONTEXT,Geen persoonsgebeurtenis; puur culinair item.,N.v.t.,Mark-gegradeerd voedingsitem met vrijwel geen route-last.,governance/CURRENT_DECISIONS_MASTER.md sec.8.,governance/CURRENT_DECISIONS_MASTER.md sec.8.,N.v.t.,30-45 min.,Geen - eerlijk gepresenteerd als food-item zonder persoonslink.
A014,AGR-03,A,Petha (Agra),Agra's karakteristieke gekonfijte ash-gourd-zoetigheid (petha).,Geen,UNKNOWN,INDIRECT_CONTEXT,Geen persoonsgebeurtenis; culinair item.,N.v.t.,Mark-gegradeerd voedingsitem.,governance/CURRENT_DECISIONS_MASTER.md sec.8.,governance/CURRENT_DECISIONS_MASTER.md sec.8.,N.v.t.,15-20 min.,Geen.
A015,AGR-04,A,Gajak (Agra),Sesam-jaggery zoetigheid (gajak) uit de Agra-regio.,Geen,UNKNOWN,INDIRECT_CONTEXT,Geen persoonsgebeurtenis; culinair item.,N.v.t.,Mark-gegradeerd voedingsitem.,governance/CURRENT_DECISIONS_MASTER.md sec.8.,governance/CURRENT_DECISIONS_MASTER.md sec.8.,N.v.t.,10-15 min.,Geen.
A016,AGR-01,A+,Taj Mahal,"Wereldberoemd wit-marmeren mausoleum in Agra, UNESCO Werelderfgoed.",Paramahansa Yogananda,YES,REPEATED_VISIT_SITE,"AOAY documenteert minstens twee eigen bezoeken: (1) als jongeman met zijn oudere broer Ananta, die naar Agra was overgeplaatst (hfst. 11: '...the glory of Agra, the Taj Mahal. White marble dazzling in the sun...'); (2) een hernieuwd bezoek tijdens zijn laatste terugkeer naar India in 1935-36, samen met zijn Amerikaanse secretaris/fotograaf C. Richard Wright (hfst. 42: 'Once again I gazed on the Taj Mahal; in memory I saw...'), met een bijbehorende foto die in het boek zelf wordt aangehaald ('see taj.jpg').","Geen specifieke kamer/plek binnen het monument - het monument zelf, bij voorkeur bij eerste ochtendlicht.","Niet alleen 's werelds beroemdste monument, maar ook een plek waar Yogananda persoonlijk stond en op terugblikte - twee keer, decennia uit elkaar, met een eigen foto in AOAY als fysiek bewijs.",decisions/AGRA_TAJ_ONLY_FIXED_CORE_MARK_DECISION_2026-08-31.md; decisions/AGRA_TAJ_ONLY_DEPART_ASAP_MARK_DECISION_2026-09-09.md; CLUSTER_LEVEL_DECISIONS_2026-08-22.md; Taj sunrise = HARD travel requirement.,"runs/active/INDIA10-CLUSTER-COVERAGE-REAUDIT-001/AGRA_A_PLUS_MARK_SELECTION_SLICE.md ('Paramahansa Yogananda/AOAY: exact physical site, personally visited; AOAY chapters 11 and 42'); runs/active/AOAY-FULL-LOCATION-ATLAS-001/PLACE_ATLAS.jsonl AOAY-ATL-046/047; RAW_OCCURRENCES.jsonl OCC-00220/00221/01064/01065 (volledige primaire tekst, geen snippet).","STERK - eerste-persoons primaire tekst, corpusbreed geverifieerd (geen snippet-only claim).",Geen specifieke stilzit-aanbeveling nodig buiten de reeds geplande rustige vroege-ochtendtijd; het monument zelf nodigt tot rondkijken uit.,KLEIN - huidige kaart ('direct historical onsite memory cue') is al goed; kan explicieter de twee-bezoeken-structuur noemen (jeugd met broer Ananta + 1936-terugkeer met Wright) in plaats van vaag te blijven.
A017,BOD-01,A+,Mahabodhi Temple Complex + Bodhi Tree,"UNESCO-werelderfgoed boeddhistisch tempelcomplex dat de plek van Boeddha's verlichting markeert, met de Bodhiboom.",Boeddha (Siddhartha Gautama),YES,EXACT_EVENT_SITE,"Traditionele plek van Siddhartha Gautama's verlichting onder de Bodhiboom, ca. 6e-5e eeuw v.Chr. BELANGRIJKE NUANCE: de huidige Bodhiboom is een afstammeling (via stekken, meermaals herplant, laatst in 1881 door Alexander Cunningham nadat de vorige boom beschadigd raakte) - niet letterlijk dezelfde 2500 jaar oude boom, wel dezelfde soort op dezelfde plek, met een ononderbroken verering sinds keizer Ashoka (3e eeuw v.Chr.).","De Vajrasana ('diamanten troon'), de stenen plaat die de traditionele exacte verlichtingsplek onder de boom markeert.",Het centrale spirituele ankerpunt van de hele Bodh Gaya-wereld; drie nachten zijn deels bedoeld om dit onthaast te ervaren.,DECISION_LEDGER DL-0031; decisions/BODHGAYA_CLUSTER_CLOSURE_MARK_DECISION_2026-08-29.md.,runs/active/INDIA10-CLUSTER-COVERAGE-REAUDIT-001/BODHGAYA_VERIFIED_MAP_COORDINATES_2026-08-29.md; decisions/BODHGAYA_PILGRIMAGE_WALK_DAY_MARK_DECISION_2026-08-29.md; websearch 2026-09-11 voor de boom-continuïteitsnuance.,"STERK als 2000+ jaar oude ononderbroken boeddhistische traditie/archeologische continuïteit; inherent een geloofs-/traditieclaim voor de historiciteit van de verlichting zelf, wat dit project niet hoeft te beslechten.","Lang, onthaast (reeds beschermd, geen harde eindtijd).","KLEIN - voeg toe dat de huidige boom een via stekken voortgezette afstammeling is, geen letterlijk 2500 jaar oud organisme, om overclaiming te voorkomen. Verder al uitstekend gepresenteerd."
A018,BOD-04,A,Great Buddha Statue,Groot modern zittend Boeddhabeeld (1989) nabij het kloosterkwartier van Bodh Gaya.,"Boeddha (algemeen, geen exacte gebeurtenisclaim)",NO_DIRECT_PRESENCE,MODERN_MEMORIAL_ONLY,"Modern (1989) monumentaal beeld, geen claim van een historische Boeddha-gebeurtenis op deze exacte plek.",N.v.t.,Compacte boeddhistisch-erfgoed/algemeen-reizigersinhoud die goed past bij de kloosterwandeling.,DECISION_LEDGER DL-0030/DL-0031.,A_PLUS_MARK_DECISION_LOG.md.,"N.v.t. voor persoonsclaim (geen claim gedaan, terecht).",20-30 min.,Geen - huidige kaart is al eerlijk ('no direct site-specific AOAY event').
A019,BOD-07,A,International monastery belt,"Flexibele wandeling langs 2-3 visueel/cultureel verschillende internationale boeddhistische kloosters rond Mahabodhi (Thais, Bhutaans, Japans e.a.).",Geen specifieke,N/A,INDIRECT_CONTEXT,"Moderne, door verschillende landen gebouwde kloosters; geen historische persoonsgebeurtenis.",N.v.t. - flexibele keuze uit 2-3 kloosters.,Mark zei expliciet 'zeker zien'; culturele breedte bij lage belasting.,decisions/BODHGAYA_INTERNATIONAL_MONASTERY_BELT_MARK_DECISION_2026-09-04.md.,decisions/BODHGAYA_INTERNATIONAL_MONASTERY_BELT_MARK_DECISION_2026-09-04.md.,N.v.t.,45-75 min flexibel.,Geen - niet ten onrechte als checklist van elk klooster presenteren (expliciete Mark-instructie).
A020,BOD-02,A+,Sujata Stupa,Opgegraven stoeparuïne bij Bakraur die de plek markeert waar Sujata de uitgehongerde Siddhartha voedsel gaf.,Boeddha; Sujata,YES,EXACT_EVENT_SITE,"Traditionele plek waar het dorpsmeisje/-vrouw Sujata de uitgemergelde asceet Siddhartha melkrijst (kheer) aanbood, wat zijn zes jaar extreme zelfkastijding beëindigde en hem op weg zette naar de Middenweg en de verlichting enkele dagen later bij Bodh Gaya.",De opgegraven stoepaheuvel zelf.,Eerste stap van de beschermde pelgrims-wandeldag; het scharniermoment tussen ascese en verlichting.,DECISION_LEDGER DL-0031; decisions/BODHGAYA_PILGRIMAGE_WALK_DAY_MARK_DECISION_2026-08-29.md.,runs/active/INDIA10-CLUSTER-COVERAGE-REAUDIT-001/BODHGAYA_VERIFIED_MAP_COORDINATES_2026-08-29.md.,Traditioneel/archeologisch (ASI-opgegraven stoepa geïdentificeerd met het traditionele verhaal); geen letterlijk eigentijds ooggetuigenverslag - zelfde epistemische categorie als andere 2500 jaar oude boeddhistische plekken.,45-60 min.,Geen groot risico - huidige kaart is al accuraat; voeg Sujata's naam expliciet toe aan het persoonsveld.
A021,BOD-03,A+,Dungeshwari / Mahakala Caves,Grotcomplex waar Siddhartha zes jaar extreme ascese beoefende vóór zijn verlichting; nu met een gebouwd tempelcomplex rond de historische grot.,Boeddha,YES,EXACT_MEDITATION_PRACTICE_SITE,"Traditionele plek van Siddharta's jarenlange extreme zelfkastijding/ascetische beoefening, voorafgaand aan de ontmoeting met Sujata en de uiteindelijke verlichting.","De specifieke kleine meditatiegrot binnen het complex (met een verguld beeld van de uitgemergelde Boeddha), te onderscheiden van de omringende, later gebouwde tempelconstructie.","Kern-A+ pelgrimsinhoud, veel humaner met de derde Bodh Gaya-nacht; onderdeel van de beschermde pelgrimswandeling.",DECISION_LEDGER DL-0030/DL-0040; decisions/BODHGAYA_PILGRIMAGE_WALK_DAY_MARK_DECISION_2026-08-29.md.,runs/active/INDIA10-CLUSTER-COVERAGE-REAUDIT-001/BODHGAYA_VERIFIED_MAP_COORDINATES_2026-08-29.md.,"Traditioneel/archeologisch, zelfde categorie als A020.","60-90 min, inclusief stille tijd in de kleine grot zelf.","KLEIN - onderscheid expliciet de kleine historische grot van het omringende moderne tempelgebouw, zodat Mark weet welk exact stukje het 'echte' doelpunt is."
A022,BOD-05,A,Ancient Pragbodhi/Dungeshwari stupa ridge,Oude boeddhistische stoeparuïnes (resten van zeven vroege stoepa's) op de heuvelrug direct boven de Dungeshwari-grotten.,"Boeddha (algemene, oude boeddhistische pelgrimscontext)",UNKNOWN,INDIRECT_CONTEXT,"Oude stoeparesten op dezelfde heuvel als de Dungeshwari-grotten; geen aparte, specifieke Boeddha-gebeurtenis los van de ascese-episode van A021 zelf gedocumenteerd - dit is aanvullende oude bedevaartsarcheologie op dezelfde berg.","De stoeparuïnes op de rug, alleen als terrein/toegang veilig is.","Was eerder volledig weggevallen in de PDF ondanks dat het fysiek dezelfde plek/berg is als A021; nul extra route-last, alleen proberen als Mark toch al bij de grotten is.",decisions/DUNGESHWARI_STUPA_RIDGE_A_MARK_DECISION_2026-08-29.md: 'A / SAME-HILL ADD-ON / ZERO EXTRA ROUTE WEIGHT / TRY ON SITE / WALKING SHOES'.,decisions/DUNGESHWARI_STUPA_RIDGE_A_MARK_DECISION_2026-08-29.md; decisions/BODHGAYA_PILGRIMAGE_WALK_DAY_MARK_DECISION_2026-08-29.md; decisions/BODHGAYA_CLUSTER_CLOSURE_MARK_DECISION_2026-08-29.md.,Archeologisch vastgesteld (opgravingsresten); geen specifieke persoonsclaim boven wat al bij A021 geldt.,30-45 min indien veilig toegankelijk.,Geen - huidige kaart is al eerlijk en zorgvuldig geformuleerd ('SCHEDULED IF SAFE').
A023,VNS-21,A,Shitala Mata Temple,"Levende tempel gewijd aan Shitala Mata (volksgodin, traditioneel geassocieerd met bescherming tegen pokken/ziekte), in de Dashashwamedh-zone.",Geen (van Marks kernpersonen),UNKNOWN,INDIRECT_CONTEXT,Geen gedocumenteerd verband met een van Marks prioriteitspersonen gevonden; algemene levende Hindoe-verering.,N.v.t.,"Een echt tempelbezoek vlak vóór het avondlijke rivierblok, zodat het niet louter 'context' blijft maar een eigen bezoekmoment krijgt.",VARANASI_LP_MARK_TIME_DECISIONS_2026-08-27.md.,PROTECTED_CANON_BASELINE.csv id 039.,N.v.t. voor persoonsclaim.,15-25 min.,Geen - eerlijke afwezigheid van een prioriteitspersoon; algemene sacrale Kashi-waarde staat op zichzelf.
A024,VNS-03,A+,Dashashwamedh Ghat + evening Ganga Aarti,Varanasi's belangrijkste centrale ghat en de grote avondlijke Ganga Aarti-vuurceremonie.,Geen specifieke (van Marks kernpersonen),N/A,INDIRECT_CONTEXT,"Geen gedocumenteerd verband met een van Marks kernpersonen; de waarde ligt in de eigen, door Mark expliciet benoemde ervaringswaarde ('one of the defining India experiences'), niet in een historische persoonsclaim.",N.v.t. - de hele rivieroever/ceremonie is het doel.,Mark noemt dit zelf expliciet een van de bepalende ervaringen van de reis - dit hoeft geen persoonslink te hebben om A+ te verdienen.,VARANASI_LP_MARK_TIME_DECISIONS_2026-08-27.md item 5: 'Mark explicitly regards this as one of the defining India experiences'.,VARANASI_LP_MARK_TIME_DECISIONS_2026-08-27.md.,N.v.t. voor persoonsclaim; sterk voor Marks eigen subjectieve prioriteit.,Volledige avond/2 uur (reeds beschermd).,Geen - correct gepresenteerd als ervaringswaarde zonder geforceerde persoonslink.
A025,VNS-10,A,Ganges dawn rowboat,"Roeitocht op de Ganges bij zonsopgang, ca. 90-120 min roeien plus in/uitstaptijd.",Geen,N/A,INDIRECT_CONTEXT,Geen persoonsgebeurtenis; iconische ervaring.,N.v.t.,Iconische Varanasi-rivierervaring met een eigen beschermd tijdsblok.,VARANASI_LP_MARK_TIME_DECISIONS_2026-08-27.md item 14.,VARANASI_LP_MARK_TIME_DECISIONS_2026-08-27.md.,N.v.t.,"2,5 uur (reeds beschermd).",Geen.
A026,VNS-27,A,Shri Kashi Vishwanath Temple,"Een van de twaalf Jyotirlinga's, de centrale Shiva-tempel van heilig Kashi/Varanasi.",Geen specifieke (van Marks kernpersonen),UNKNOWN,INDIRECT_CONTEXT,Een van de belangrijkste levende hindoeïstische heiligdommen van India in het algemeen; geen specifiek gedocumenteerd bezoek/verblijf van een van Marks prioriteitspersonen gevonden in dit project.,N.v.t.,Centraal hindoeïstisch heilig anker van Kashi zelf; eigen zwaarwegende betekenis zonder dat een individuele-persoonsclaim nodig is.,PROTECTED_CANON_BASELINE.csv id 007; MARK_DECISIONS_2026-08-02.jsonl CLUSTER_DECISION VISHWANATH_OLD_CITY.,runs/active/VARANASI-GEO-DELIVERY-REPAIR-001/MARK_DECISIONS_2026-08-02.jsonl.,N.v.t. voor individuele persoonsclaim.,45-60 min plus wacht-/veiligheidstijd.,"Geen - eerlijk zo, geen prioriteitspersoon gevonden; niet kunstmatig een link forceren."
A027,VNS-11,A,Maa Annapurna Temple,"Tempel gewijd aan Annapurna (godin van voedsel/overvloed), naast de Kashi Vishwanath-zone.",Geen,UNKNOWN,INDIRECT_CONTEXT,Geen gedocumenteerd verband met Marks prioriteitspersonen.,N.v.t.,Onderdeel van de Vishwanath Old City-microcluster; behouden zodat het niet in een brede label verdwijnt.,PROTECTED_CANON_BASELINE.csv id 014; decisions/FULL_A_COVERAGE_AND_GLOBAL_ROUTE_TOPOLOGY_REOPTIMIZATION_2026-09-09.md sec.3 item 2.,PROTECTED_CANON_BASELINE.csv.,N.v.t.,15-25 min.,Geen.
A028,VNS-12,A,Vishalakshi Gauri Temple,"Een van de Shakti Peetha's (mythologische godinnenschrijnen), in de Old City-tempelzone.",Geen (historische persoon); mythologische figuur (Sati/Shakti),TRADITION_CLAIM,TRADITION_CLAIM,"Mythologische, geen historisch-biografische claim: een van de plekken waar volgens de Shakti Peetha-traditie een lichaamsdeel van de godin Sati zou zijn gevallen.",N.v.t.,Onderdeel van dezelfde Old City-microcluster als Vishwanath/Annapurna.,PROTECTED_CANON_BASELINE.csv id 017; decisions/FULL_A_COVERAGE_AND_GLOBAL_ROUTE_TOPOLOGY_REOPTIMIZATION_2026-09-09.md sec.3 item 3.,PROTECTED_CANON_BASELINE.csv.,"Mythologisch/traditioneel, geen historische persoonsverificatie van toepassing.",15-25 min.,"Geen - mythologische aard is eigen aan dit type Shakti Peetha-schrijn, geen verborgen historische persoon te vinden."
A029,VNS-07,A,Bengali Tola - Thatheri Bazaar - Chowk lanes,"Wandeling door de oude stadswijken/bazaarstegen Bengali Tola, Thatheri Bazaar en Chowk in het oude Kashi.",Lahiri Mahasaya,YES,EXACT_LIFE_SITE (wijkniveau),"AOAY (hfst. 35) documenteert dat Lahiri Mahasaya zelf een actieve rol speelde bij de oprichting/groei van een grote middelbare school in de Bengalitola-wijk van Benares - dit is een concrete, tekstueel vastgelegde eigen-levensactiviteit, GEEN algemeen 'geen AOAY-link' zoals de huidige kaart beweert.",Geen specifiek schoolgebouw geïdentificeerd in AOAY of in dit project-onderzoek - alleen wijkniveau.,"Dit is een echte, tekstueel onderbouwde Lahiri Mahasaya-connectie die momenteel volledig verborgen wordt door de framing 'no AOAY person-link; urban-cultural layer'.","VARANASI_LP_MARK_TIME_DECISIONS_2026-08-27.md item 8: 'Mark: interested, but no dedicated special day'.","runs/active/TOP11-INDIA-PERSON-CENTRIC-MEGASWEEP-001/LAHIRI_MAHASAYA_V2_PRE_EXTERNAL_FREEZE.md record 17 (AOAY hfst. 35, 'Bengalitola-wijk, Benares - Actieve rol in oprichting/groei van een grote middelbare school aldaar').","MATIG - primaire AOAY-tekst, maar alleen op wijkniveau, geen gebouw geïdentificeerd.","Reeds 1 uur gereserveerd - passend, geen stilzit nodig, dit is een doorloopwandeling.","GROOT - de huidige kaart zegt letterlijk 'No AOAY person-link; urban-cultural layer', wat feitelijk ONJUIST is gezien AOAY hfst. 35. Dit moet worden gecorrigeerd: er IS een AOAY-gedocumenteerde Lahiri Mahasaya-connectie (schoolstichting) in exact deze wijk."
A030,VNS-06,A,Banarasi paan,Varanasi's karakteristieke betelblad-bereiding (paan).,Geen,N/A,INDIRECT_CONTEXT,Geen persoonsgebeurtenis; culinair/cultureel item.,N.v.t.,Leuk lokaal-cultureel item als je toch al passeert.,VARANASI_LP_MARK_TIME_DECISIONS_2026-08-27.md item 1.,VARANASI_LP_MARK_TIME_DECISIONS_2026-08-27.md.,N.v.t.,15-20 min (1 uur gereserveerd in schema).,Geen.
A031,VNS-37,A,Kabir Chaura Math,"Levend centrum van de mysticus-dichter Kabir en de Kabir Panth-traditie, in de wijk die traditioneel als Kabirs eigen buurt geldt.",Kabir,PROBABLY,"EXACT_RESIDENCE (traditieclaim); PERSON_FOUNDED_SITE (math gesticht door directe discipel, niet door Kabir zelf)",De wijk Kabir Chaura wordt traditioneel geïdentificeerd als het gebied waar Kabirs eigen familie woonde en waar Kabir zelf zou hebben gewoond/gemediteerd; de Math zelf werd kort na zijn dood gesticht door zijn directe discipel Surat Gopal als herdenkings-/lijninstelling.,Geen specifiek exact huis/kamer verder geïdentificeerd.,"Dit is (volgens traditie) Kabirs eigen thuiswijk, niet zomaar een willekeurig Kabir Panth-instituut elders.",PROTECTED_CANON_BASELINE.csv id 024; A_PLUS_MARK_DECISION_LOG.md 'reconfirmed A on 2026-08-27'.,Websearch 2026-09-11 (incredibleindia.gov.in; Wikipedia 'Kabir Chaura').,"MATIG - devotioneel-biografische traditie; Kabirs exacte biografische feiten zijn door wetenschappers zelf bediscussieerd vanwege gelaagde mondelinge overlevering, vergelijkbaar met de epistemische voorzichtigheid bij Babaji (al is Kabir zelf, anders dan Babaji, een gedocumenteerd historisch persoon).",45-60 min.,"MATIG - huidige kaart ('living centre of Kabir and the Kabir Panth tradition') vermeldt niet dat dit (volgens traditie) Kabirs eigen woonwijk is, niet slechts een generiek Kabir Panth-instituut."
A032,VNS-08,A,Assi-Tulsi slow dawn ghat walk,"Langzame, contemplatieve ochtendwandeling langs de Assi-Tulsi-rivieroever.",Geen (de wandeling zelf); zie A034 voor de Tulsidas-connectie van een specifiek punt op deze route,N/A,INDIRECT_CONTEXT,"De wandeling zelf is een ervaringscategorie, geen op zichzelf staande gebeurtenisplek; ze loopt wel langs Tulsi Ghat (A034), waar wél een sterke Tulsidas-connectie bestaat.",N.v.t. voor de wandeling zelf.,"Contemplatieve dageraadervaring, expliciet beschermd als eigen 3-uursblok.",VARANASI_LP_MARK_TIME_DECISIONS_2026-08-27.md item 12.,VARANASI_LP_MARK_TIME_DECISIONS_2026-08-27.md.,N.v.t. voor de wandeling als geheel.,3 uur (reeds beschermd).,"Geen voor de wandeling zelf - zorg er wel voor dat de Tulsidas-connectie van Tulsi Ghat (A034), die binnen deze wandeling ligt, niet verloren gaat in de algemene 'dawn walk'-framing."
A033,VNS-28,A+,Assi Ghat,"Zuidelijkste grote ghat aan de Ganges, ochtend-/pelgrimsanker van de Bhadaini-Assi-wereld.",Geen specifieke,UNKNOWN,INDIRECT_CONTEXT,Geen specifiek gedocumenteerd verband met een van Marks prioriteitspersonen gevonden; algemene sacrale/pelgrimswaarde als zuidelijke ghat-poort van Kashi.,N.v.t.,"A+ fysiek anker van de Bhadaini-Assi-wereld, los van de losse ervaringen (dawn walk, Subah-e-Banaras) die er plaatsvinden.",A_PLUS_MARK_DECISION_LOG.md 'CURRENT A+ SPINE' 2026-08-27; PROTECTED_CANON_BASELINE.csv id 010.,A_PLUS_MARK_DECISION_LOG.md.,N.v.t. voor persoonsclaim.,Binnen de dawn walk/programma's; geen apart blok nodig.,"Geen - eerlijk zo, huidige kaart zegt terecht 'No specific AOAY person-link'."
A034,VNS-39,A,Tulsi Ghat,"Historische ghat vernoemd naar de dichter-heilige Tulsidas, oorspronkelijk bekend als Lolark Ghat.",Tulsidas,YES,EXACT_RESIDENCE; EXACT_DEATH_SAMADHI_ASHES_SITE (waarschijnlijk),"Tulsidas, auteur van de Ramcharitmanas (de invloedrijkste Hindi-versie van het Ramayana-epos), woonde hier en bracht hier zijn laatste levensjaren door; hij stierf hier op 30 juli 1623. Delen van de Ramcharitmanas zijn tijdens zijn Varanasi-periode geschreven, al wordt de kern van de compositie doorgaans aan Ayodhya en Chitrakoot toegeschreven.",Een aan Tulsidas toegeschreven huis/verblijfplek wordt bij de ghat genoemd in toeristische bronnen ('House of Goswami Tulsidas'); niet onafhankelijk in dit project geverifieerd welk exact bouwwerk wordt getoond.,"Dit is niet zomaar 'een ghat vernoemd naar Tulsidas' - het is de plek waar hij daadwerkelijk woonde en stierf, een directe woonplek van een van de grootste bhakti-dichters van India.",PROTECTED_CANON_BASELINE.csv id 036; MARK_DECISIONS_2026-08-02.jsonl VNS-CAND-036 (A).,"Websearch 2026-09-11 (Wikipedia 'Tulsi Ghat', 'Tulsidas'; kashi.gov.in; varanasiguru.com).",MATIG-STERK - meerdere onafhankelijke secundaire bronnen consistent; exact gebouw/kamer niet onafhankelijk bevestigd.,20-30 min.,"GROOT - huidige kaart ('kept individually visible because a dawn walk name alone is not sufficient physical coverage... no direct AOAY link') is feitelijk juist over AOAY maar onderspeelt zwaar dat dit Tulsidas' eigen woon- en sterfplek is. Til dit expliciet op tot een echte persoonslocatie, niet slechts een naamgevingsdetail."
A035,VNS-40,A,Lolark Kund,"Oude, verzonken stenen waterbak (kund) voor zonneverering en vruchtbaarheidsrituelen, vlak bij Tulsi Ghat.",Geen (historische persoon),N/A,TRADITION_CLAIM,"Oude Surya (zonnegod)-verering en vruchtbaarheidsritueel; Tulsi Ghat zelf heette vroeger 'Lolark Ghat', wat wijst op een gedeelde oude sacrale naamgeving/geografie met deze kund, maar geen gedocumenteerde connectie met een van Marks prioriteitspersonen.",N.v.t.,Onderscheidend heilig waterpunt in dezelfde Bhadaini-Assi-wereld als Tulsi Ghat/Assi Ghat.,PROTECTED_CANON_BASELINE.csv id 037; MARK_DECISIONS_2026-08-02.jsonl VNS-CAND-037 (A).,Websearch 2026-09-11 (Tulsi Ghat vroeger 'Lolark Ghat').,Mythologisch/traditioneel; geen historische persoonsverificatie van toepassing.,15-20 min.,Geen - eerlijk zonder prioriteitspersoon; wel de moeite waard om de gedeelde naamsgeschiedenis met Tulsi Ghat (A034) te vermelden als sfeercontext.
