LIVE_ID,HISTORIC_CARD_ID,SOURCE_ID,WORLD,PLACE,LIVE_GRADE,LIVE_EXECUTION_CLASS,NOTE
L051,A039,VNS-20,Varanasi/Sarnath,Lahiri Mahasaya original/family house,A+,ACCESS_GATE,"Core Lahiri residence/teaching/death house; January interior access must be confirmed"
L052,,VNS-22,Varanasi/Sarnath,Sahi River View Guesthouse,SPECIAL/ACCOMMODATION,LOCKED_BASE,"Locked Assi Ghat sleep base; balcony room desired; Jitendre; Debby greeting"
L053,A040,VNS-24,Varanasi/Sarnath,Lahiri Mahasaya Samadhi / Satyalok,A,CORE,"Separate ashes/samadhi/lineage site; likely more accessible devotional contact than house"
L054,A045,VNS-25,Varanasi/Sarnath,Shri Tailanga Swami Math,A,CORE,"Direct Trailanga Swami life/samadhi world with Ramakrishna/Lahiri relevance"
L055,A036,VNS-26,Varanasi/Sarnath,Shree Shree Ma Anandamayi Ashram Bhadaini,A+,CORE,"Direct Anandamayi life-site; do not relocate Yogananda's famous meeting here"
L056,A026,VNS-27,Varanasi/Sarnath,Shri Kashi Vishwanath Temple,A,CORE,"Major Jyotirlinga and living sacred core of Kashi; destination-level travel value, not generic temple"
L057,A033,VNS-28,Varanasi/Sarnath,Assi Ghat,A+,CORE,"Physical ghat anchor distinct from experiences occurring there"
L058,A046,VNS-29,Varanasi/Sarnath,Panchganga Ghat,A,CORE,"Physical center of Trailanga/Panchganga world; direct yogic-life geography"
L059,A041,VNS-30,Varanasi/Sarnath,Sankat Mochan Hanuman Temple,A,CORE,"Hanuman-darshan/Tulsidas founding legend; worth A independent of Top-X person list"
L060,A042,VNS-31,Varanasi/Sarnath,Durga Temple and Durga Kund,A,CORE,"Varanasi 'Monkey Temple'; highly recognizable/photogenic general-traveler highlight"
L061,A043,VNS-33,Varanasi/Sarnath,Kedareshwar Temple and Kedar Ghat,A,CORE,"Protected A; newly restored Sri Ramakrishna connection prevents downgrade"
L062,A048,VNS-34,Varanasi/Sarnath,Lalita Ghat,A,CORE,"Nepali riverfront architectural setting; pair with Kathwala Temple"
L063,A049,VNS-35,Varanasi/Sarnath,Nepali / Kathwala Temple,A,CORE,"Unique Kathmandu-like Nepali wooden pagoda architecture in Varanasi"
L064,A031,VNS-37,Varanasi/Sarnath,Kabir Chaura Math,A,CORE,"Living Kabir/Kabir Panth center; major devotional-literary tradition"
L065,A034,VNS-39,Varanasi/Sarnath,Tulsi Ghat,A,CORE,"Tulsidas residence/death geography; place/legend itself justifies A"
L066,A035,VNS-40,Varanasi/Sarnath,Lolark Kund,A*,CORRIDOR_BYCATCH,"Conditional A*: only free while already in Bhadaini-Assi block"
L067,,VNS-42,Varanasi/Sarnath,Alamgir Mosque / Dharahara,A*,SKIP_FIRST,"Architectural/historical bycatch only while already at Panchganga"
L068,A061,KOL-01,Kolkata/Dakshineswar,Dakshineswar Kali Temple,A+,CORE,"Dense Ramakrishna/Sarada/Vivekananda/Yogananda physical-life world; Panchavati/room/Nahabat matter"
L069,A062,KOL-02,Kolkata/Dakshineswar,Yogoda Satsanga Math Dakshineswar,A+,CORE,"Direct Yogananda/Kriya living ashram anchor"
L070,A063,KOL-03,Kolkata/Dakshineswar,Belur Math,A,CORE,"Vivekananda founded/lived/died/was cremated here; Ramakrishna relic focus"
L071,A064,KOL-04,Kolkata/Dakshineswar,4 Garpar Road,A+,PREARRIVAL_ACCESS_GATE,"Yogananda Kolkata youth/family/meditation house; not birth house; email access in advance"
L072,A065,KOL-05,Kolkata/Dakshineswar,YSS Dhyana Kendra Garpar,A+,PROGRAM_GATE,"Historic early meditation-circle location + living YSS practice; exact Jan programme recheck"
L073,A066,TIR-01,Tiruvannamalai/Arunachala,Arunachala / Ramana sacred mountain world,A+,CORE,"Low-tempo sacred-mountain presence is the parent value"
L074,A067,TIR-09,Tiruvannamalai/Arunachala,The Dreaming Tree,A,FINAL_COMFORT,"Mark-graded restaurant; zero independent night weight"
L075,A068,TIR-03,Tiruvannamalai/Arunachala,Virupaksha Cave,A,CORE,"Ramana residence for about 17 years; cave access no earlier than current opening window"
L076,A069,TIR-04,Tiruvannamalai/Arunachala,Skandashram,A,CORE,"Ramana residence; mother Alagammal's final period/death here"
L077,A070,TIR-06,Tiruvannamalai/Arunachala,Gurumurtam,A,CORE,"Specific early-Ramana biographical site"
L078,A071,TIR-07,Tiruvannamalai/Arunachala,Pavalakunru,A,CORE,"Early Ramana-era Arunachala spur/temple"
L079,A072,TIR-10,Tiruvannamalai/Arunachala,The Inner Child,A,FINAL_COMFORT,"Mark-graded restaurant; zero independent night weight"
L080,A073,TIR-08,Tiruvannamalai/Arunachala,Giripradakshina / Girivalam 14 km,A,CORE,"Central Arunachala pilgrimage practice; start/end actual sleep base"
L081,A074,TIR-05,Tiruvannamalai/Arunachala,Arunachaleswarar / Annamalaiyar Temple,A,CORE,"Ramana's 1896 arrival world; Patala Lingam deep-samadhi episode; huge living Shiva temple"
L082,A075,TIR-11,Tiruvannamalai/Arunachala,Amutham,A,FINAL_COMFORT,"Mark-graded restaurant; zero independent night weight"
L083,A076,TIR-02,Tiruvannamalai/Arunachala,Sri Ramanasramam,A,CORE,"Ramana 1922-1950 residence/teaching/death/samadhi complex + documented Yogananda visit"
