branch	head_sha	tree_sha
agent/indiageel-ramana-ramakrishna-sweep	9c0b1a0d7ec5b8990287cb79c53f17db52f93f09	36af879a4ae9eac48ee4e2e3d6aa7795cef1a5e5
agent/indiagoud-nonperson-anchor-audit	23706035c1fe8a16cbcf8b0c4eff3ba041aa4660	dad3cf4aaa3f7f151214bf9e4f03dff63e7c0b69
agent/indiahotel-evelyn-ramdass-room-closure	0a7da62a1ee415bd583b2e627f9bc46342815b0c	fd931c15dc70d144a267f9aebed67131549098fc
agent/indialonelyplanet-ganges-south-discovery	b258832609c128e5e3124579aebb4b8eb8bd25cd	c5b46ddf98adfc26c5072360fe8bf55f343bd2a6
agent/indialonelyplanet-north-discovery	8c2c361bd08df497ebc8f0e3ee19c6cc3544b5b7	6167aa7f804b9e05bd68913eed20506f87508648
agent/indialonelyplanet-second-opinion-micro	5ad6fe83069091791be3c17852593de8fd4ca5d4	99d7b58357f698825850bcc5e4279b14e54def5c
agent/indiaorange-travel-heatmap-prep	b693d7be0b04170c57df5efaa47286ad14940781	a8b9f09cccfb146985c1312d230cbb91588a04f2
agent/indiapaars-decision-rubric-prep	0c28b6ca52103daad52915139ac57c9b39bc1a91	fc9492d68f1e7aa5e15e1eaf48903aee5e89b6a4
agent/indiarood-core-kriya-sweep	5443eeceab292c714d3c4e5b328f55d300464259	39364013f0d908eaec74b3622916e3b58af5ae70
agent/indiaroze-route-builder-prep	47fe4d52c3c3b8736f080705ddd4b6357c8aa06a	0acffdd5d376691c82345021105ce723a46bb3f3
agent/indiaturquoise-allperson-overlap	0aef428540474bcee26122f3913c26ced6aad10f	94079df03f173551b3c4a159187270ba688f1f30
agent/indiawit-master-travel-readiness	b5ec1abddfe23669c8ea273970760944d312a90a	884820ccdc50b0165a79bab9914bdd3ac3c8faa8
agent/indiazilver-cluster-completeness-audit	9300fcbb2ae65c06dac65ce55c89dff82ee23a6a	365ba7b140f0ba039fbf9827aa0349b679a2fa09
claude/werk-je-nu-of-niet-oa10y7	b32c374debe887715bf9b67808c058d482be0f01	f250718fb97033ec0ac5527f3f382209ea64628b
controller/kumaon-complete-001-ready-for-zilver-20260719	f5cc6d43182693fa9e9574945551faa65ce71dcc	9e3f36f749d115c6ddc53cbb4027d4b3f4977186
feature/brons-zilver-goud-pipeline	61de6d2efa80b01e35e82239e62370c0ab42263e	91609ca63502b0c3207b96824ad2336d7149b466
feature/continuous-learning-v2-2	9c22e31586790608c8642ac7f70ff6fc95187966	2365271345f4ada5c5fe4fee8617c840f2408157
feature/methodology-v3-coordinated-sweeps	841fca416beb5ffcddad425b0a4faf6af1ba095e	656da0d89d807f45e6e35ffd49c6842c194ff06d
feature/pipeline3-braj-prerequisites	de6b468930b9da672042b7934c8fabf768f1d3c3	bddb1af0c702baa274e5d31a47bfc9cdb94f9b5f
feature/self-routing-minimal-mark-work	6b6efd3191bcc85e916a052d4d5db05be648b2e0	92fae2ba9cc0bff78dad63ccd84639b7f4698bb5
feature/subregie-india-interface	d5b1534bcf56cadaceddfba7d60ae08f6fa21944	617ceb6aa75eab38772233d39b31b068e96f3820
fix/controller-transition-v2-1	636f3bd7bd4054ea0cdafc48f10e68611168562b	0e2d40311a956a2e92b692e7abf27a11a714cb23
implementation/minimal-bzg-handoff	a38d6b788bc047d234c513f0acdc241062f30ce3	17e7ca81e0359607dbe7b18c71388e9147a3f7e8
improvement/controlled-resume-and-braj-final-validation	5ef71c02e6a3786ce34d95990d6e112948ebd7cb	dac08cd4e81a8b4c4e0e7a1ecbf923d0d2ba6f63
india/kumaon-v2-sweep-b-001	41bd4a7caebe83e44b9ee2470ecf1212d5111d9e	b520da518831fa66847609b44e86a69d63b0113a
main	c21a24bdfc728ad2bc3e4cdc3ef47cb96492393f	b284364c951b3bf6f3a475ad958f13827a756d46
proposal/one-shot-bzg-orchestration-consensus	f9b5e44432cc5c1ac188bdb8b5598f83abdb2274	ac7e967cbf594f032a429d0505f091c96867a496
run/kumaon-complete-001-init	4bfacffac1372dd443f77af16c171112ad60fb81	664571707c182146cfd053042806945cf81a2d00
run/vrindavan-kumaon-corridor-001-prep	c0c3344a7912c0d58bdff4a1fd5f0505f3cb5188	e73c108824c6643d2b9da39af39de2bf214a5de4
run/vrindavan-kumaon-corridor-001-prep-v2	78f234a99baa45948f9f4101db5201ec2d4c6958	1f73a4ae13062c30082ec0a740207d70f21227c7
run/vrindavan-kumaon-corridor-001-prepare	c0c3344a7912c0d58bdff4a1fd5f0505f3cb5188	e73c108824c6643d2b9da39af39de2bf214a5de4
transition/braj-complete-001-to-zilver	057a7bc3a4a0aafef11d92ef58ae1e2c6397075b	475b2bb9c991781a81c624e98876c41dac016ddb
transition/braj-zilver-to-goud-geo	54851da06a1868ad93eb67161fa3e5bace29d0eb	7e10ed3b656e7fa6646333a885cd04b282314816
transition/vk-corridor-brons-to-zilver	e99c544ffd91e6a25d9ae4d169ad5e38138d0afc	5530d2c78e39882737d15481cfa892b91ad43db6
varanasi-goud-completion	c77311335a04d2f8036098450d37caa6f98a63a3	2f53e96444c89d3f1122140be90e1dde3a7b212d
worker/varanasi-complete-001-brons-20260720	f90fbdbb5f6f52129c97bbec77d58ea37c1a4427	b4a48d28e5fb4b00d3082c779ef9f60b477170b7
