candidate_status,entity_key,name,region,resolution,id_action,parent_or_relation,coordinate_status,notes
SEED,OLD31-17,Belur Math,Howrah,EXACT,NEW_ID_REQUIRED_PENDING_DEDUP,,UNKNOWN,"Major lineage site"
SEED,OLD31-18,Khetri House,Khetri,PHYSICAL_CONFIRMED,DEPENDENCY_ENTITY_CLOSURE,,UNKNOWN,"Exact subsite check"
SEED,OLD31-19,Vivekananda Rock Memorial / Shripada Parai,Kanyakumari,EXACT,NEW_ID_REQUIRED_PENDING_DEDUP,,UNKNOWN,""
SEED,OLD31-20,Kamarpukur Ramakrishna birthplace/temple complex,Kamarpukur,R1,NEW_ID_REQUIRED_PENDING_DEDUP,PARENT_COMPLEX,UNKNOWN,"GEEL adds room/tree/school microsites; do not collapse"
SEED,OLD31-21,Dakshineswar Kali Temple complex,Kolkata metro,R1,NEW_ID_REQUIRED_PENDING_DEDUP,SAME_PHYSICAL_COMPLEX,UNKNOWN,"Ramakrishna + Vivekananda; GEEL child sites separate"
SEED,OLD31-22,Cossipore Garden House,Kolkata,R1,NEW_ID_REQUIRED_PENDING_DEDUP,PARENT_OF_FINAL_ROOM,UNKNOWN,"Cremation ghat is distinct physical child/terminal site"
SEED,OLD31-23,Akrura Ghat,Vrindavan,PHYSICAL_CONFIRMED,NEW_ID_REQUIRED_PENDING_DEDUP,DISTINCT_FROM_NKB_ASHRAM,UNKNOWN,"No city-level merge"
SEED,OLD31-24,Ramana birthplace / Sri Sundara Mandiram,Tiruchuzhi,R1,NEW_ID_REQUIRED_PENDING_DEDUP,,UNKNOWN,"GEEL resolves current memorial identity"
SEED,OLD31-25,Arunachaleswarar Temple parent complex,Tiruvannamalai,R1,NEW_ID_REQUIRED_PENDING_DEDUP,PARENT_COMPLEX,UNKNOWN,"Inner sanctum/1000-pillared hall/Patala Lingam remain children"
SEED,OLD31-26,Virupaksha Cave,Arunachala,R1,NEW_ID_REQUIRED_PENDING_DEDUP,DISTINCT_SITE_IN_CLUSTER,UNKNOWN,"Do not collapse with Mango Tree Cave"
SEED,OLD31-27,Skandashram,Arunachala,R1,NEW_ID_REQUIRED_PENDING_DEDUP,DISTINCT_SITE_IN_CLUSTER,UNKNOWN,""
SEED,OLD31-28,Rana Mahal Ghat,Varanasi,PHYSICAL_CONFIRMED,NEW_ID_REQUIRED_PENDING_DEDUP,,UNKNOWN,"Append after Varanasi registry only after trusted coordinate check"
SEED,OLD31-29,4 Garpar Road,Kolkata,EXACT,NEW_ID_REQUIRED_PENDING_DEDUP,SAME_SITE_MULTI_PERSON,UNKNOWN,""
SEED,OLD31-30,Tulsi Bose House / Sadhana Mandir,Kolkata,IDENTITY_PENDING,DEPENDENCY_ENTITY_CLOSURE,,UNKNOWN,""
SEED,OLD31-31,Calcutta Medical College,Kolkata,INSTITUTION_EXACT,DEPENDENCY_EVENT_EVIDENCE,,UNKNOWN,"Person event requires confirmation"
GEEL_ADD,LC-NKB-NEEB-TEMPLE,Hanuman temple above Neeb Karori cave,Neeb Karori,R1,NEW_ID_REQUIRED_PENDING_DEDUP,PARENT_COMPLEX_CHILD,UNKNOWN,"Separate from historic collapsed cave"
GEEL_ADD,LC-NKB-NEEB-CAVE,historic underground meditation cave,Neeb Karori,R2,NEW_ID_REQUIRED_PENDING_DEDUP,SUCCESSOR_RELATION,UNKNOWN,"Current cave is continuity/successor site; no silent same-building merge"
GEEL_ADD,LC-NKB-NEEB-STATION,Lachman Das Puri / Neeb Karori railway station platform,Neeb Karori,R2,NEW_ID_REQUIRED_PENDING_DEDUP,,UNKNOWN,"Historic station identity strong; naming chronology unresolved"
GEEL_ADD,LC-NKB-HANUMANGARH-TEMPLE,Hanuman Garhi/Hanumangarh temple,Nainital,R1,NEW_ID_REQUIRED_PENDING_DEDUP,ALIAS_SAME_SITE,UNKNOWN,"TURQUOISE alias with Ram Dass Hanuman Garh"
GEEL_ADD,LC-NKB-HANUMANGARH-HUT,Baba hut/kuti at Hanumangarh,Nainital,R3,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_HANUMANGARH,UNKNOWN,"Do not collapse to parent temple"
GEEL_ADD,LC-NKB-BHUMIADHAR-TEMPLE,Bhumiadhar roadside Hanuman temple/ashram,Bhumiadhar,R1,SAME_SITE_OR_EXISTING_PARENT_REVIEW,PARENT_COMPLEX,UNKNOWN,"Existing Kumaon layer may already cover parent; dedup before any ID"
GEEL_ADD,LC-NKB-BHUMIADHAR-ROOM,Baba room/kuti,Bhumiadhar,R3,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_BHUMIADHAR,UNKNOWN,""
GEEL_ADD,LC-RD-BHUMIADHAR-MEET,first-meeting terrace/field zone,Bhumiadhar,R3,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_BHUMIADHAR,UNKNOWN,"Exact point not closed"
GEEL_ADD,LC-NKB-KAINCHI-ROCK,original rock/platform site,Kainchi,R2,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_EXISTING_KAINCHI,UNKNOWN,"Parent already existing; child not duplicate"
GEEL_ADD,LC-NKB-KAINCHI-ROOM,Maharajji residential kuti/room,Kainchi,R1,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_EXISTING_KAINCHI,UNKNOWN,""
GEEL_ADD,LC-NKB-KAINCHI-HANUMAN,Hanuman temple/courtyard,Kainchi,R1,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_EXISTING_KAINCHI,UNKNOWN,""
GEEL_ADD,LC-NKB-KAINCHI-BRIDGE,historic wooden bridge / replacement alignment,Kainchi,R3,NEW_ID_REQUIRED_PENDING_DEDUP,SUCCESSOR_CHILD_OF_KAINCHI,UNKNOWN,"Original removed; replacement not identical fabric"
GEEL_ADD,LC-RD-KAINCHI-ROOM67,Ram Dass 1967 room,Kainchi,R3,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_EXISTING_KAINCHI,UNKNOWN,""
GEEL_ADD,LC-RD-KAINCHI-RIVER,river bathing place,Kainchi,R3,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_EXISTING_KAINCHI,UNKNOWN,"Exact bank point unresolved"
GEEL_DEP,LC-RD-KAINCHI-FIRE,nine-day fire-ceremony zone,Kainchi,R4,DEPENDENCY_ENTITY_CLOSURE,CHILD_OF_EXISTING_KAINCHI,UNKNOWN,"No coordinate guess"
GEEL_DEP,LC-RD-KAINCHI-COLDHUT,cold hut/small village behind Kainchi,Kainchi hills,R5,DEPENDENCY_ENTITY_CLOSURE,,UNKNOWN,"Finding preserved"
GEEL_ADD,LC-RD-EVELYN-HOTEL,Hotel Evelyn,Nainital,R1,NEW_ID_REQUIRED_PENDING_DEDUP,PARENT_OF_ROOM_PATIO,UNKNOWN,"Current same named hotel site confirmed by GEEL"
GEEL_DEP,LC-RD-EVELYN-CAVE,upper/top-floor cave room,Hotel Evelyn,R4,DEPENDENCY_ENTITY_CLOSURE,CHILD_OF_LC-RD-EVELYN-HOTEL,UNKNOWN,""
GEEL_ADD,LC-RD-EVELYN-PATIO,balcony/front patio,Hotel Evelyn,R3,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_LC-RD-EVELYN-HOTEL,UNKNOWN,"Historic exact patio not proven"
GEEL_ADD,LC-NKB-RAMSAY-HOSP,Ramsay Hospital clinic,Nainital,R2,NEW_ID_REQUIRED_PENDING_DEDUP,,UNKNOWN,"Exact ECG room not needed for parent identity"
GEEL_ADD,LC-NKB-4CL-PARENT,4 Church Lane / Red House,Prayagraj,R1,NEW_ID_REQUIRED_PENDING_DEDUP,SAME_SITE_CROSS_PERSON_PARENT,UNKNOWN,"NKB + Ram Dass; child rooms remain separate"
GEEL_ADD,LC-NKB-4CL-ROOM,Maharajji small room,Prayagraj,R2,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_4_CHURCH_LANE,UNKNOWN,""
GEEL_ADD,LC-NKB-4CL-HALL,hall,Prayagraj,R3,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_4_CHURCH_LANE,UNKNOWN,""
GEEL_ADD,LC-NKB-4CL-VERANDA,outside veranda,Prayagraj,R3,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_4_CHURCH_LANE,UNKNOWN,""
GEEL_ADD,LC-NKB-4CL-KITCHEN,kitchen/meal room,Prayagraj,R3,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_4_CHURCH_LANE,UNKNOWN,""
GEEL_DEP,LC-NKB-4CL-FRONT,bathrooms/front area,Prayagraj,R4,DEPENDENCY_ENTITY_CLOSURE,CHILD_OF_4_CHURCH_LANE,UNKNOWN,""
GEEL_ADD,LC-NKB-RKMHOSP,Ramakrishna Mission Hospital,Vrindavan,R1,NEW_ID_REQUIRED_PENDING_DEDUP,DISTINCT_FROM_NKB_ASHRAM,UNKNOWN,"Final-journey hospital"
GEEL_EXISTING,LC-NKB-VR-ASHRAM,NKB Vrindavan Ashram,Vrindavan,R1,NO_NEW_PARENT_ID__ENRICH_EXISTING,EXISTING_LOCKED_PARENT,UNKNOWN,"TURQUOISE confirms NKB + Ram Dass same complex"
GEEL_ADD,LC-RD-VR-OFFICE,Maharajji office,NKB Vrindavan Ashram,R2,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_EXISTING_NKB_VRINDAVAN,UNKNOWN,""
GEEL_ADD,LC-RD-VR-COURT,temple courtyard,NKB Vrindavan Ashram,R2,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_EXISTING_NKB_VRINDAVAN,UNKNOWN,""
GEEL_DEP,LC-RD-VR-HANUMAN,Hanuman murti sanctum,NKB Vrindavan Ashram,R4,DEPENDENCY_ENTITY_CLOSURE,CHILD_OF_EXISTING_NKB_VRINDAVAN,UNKNOWN,"Blocked-source detail retained"
GEEL_ADD,LC-RD-JAIPURIA,Seth Anandram Jaipuria Bhawan,Vrindavan,R1,NEW_ID_REQUIRED_PENDING_DEDUP,,UNKNOWN,"Current establishment confirmed by GEEL"
GEEL_ADD,LC-RD-BANKEBIHARI,Banke Bihari Temple,Vrindavan,R1,NEW_ID_REQUIRED_PENDING_DEDUP,SAME_SITE_WITH_LC-RK-BANKEBIHARI,UNKNOWN,"One entity; Ram Dass + Ramakrishna links"
GEEL_ADD,LC-RD-VARANASI-MANIKARNIKA,Manikarnika/burning-ghat zone,Varanasi,R2,NEW_ID_REQUIRED_PENDING_DEDUP,,UNKNOWN,"Exact sitting point not required for ghat entity"
GEEL_DEP,LC-RD-VARANASI-HOTEL,small/cheap hotel near Manikarnika,Varanasi,R5,DEPENDENCY_ENTITY_CLOSURE,,UNKNOWN,"No defensible name/address"
GEEL_ADD,LC-RM-ARUN-SANCTUM,Arunachaleswarar inner sanctum,Tiruvannamalai,R1,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_OLD31-25,UNKNOWN,""
GEEL_ADD,LC-RM-ARUN-1000,Thousand-Pillared Hall,Tiruvannamalai,R1,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_OLD31-25,UNKNOWN,""
GEEL_ADD,LC-RM-ARUN-PATALA,Patala Lingam underground shrine,Tiruvannamalai,R1,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_OLD31-25,UNKNOWN,""
GEEL_ADD,LC-RM-MANGOTREE,Mango Tree Cave,Arunachala,R2,NEW_ID_REQUIRED_PENDING_DEDUP,DISTINCT_FROM_VIRUPAKSHA,UNKNOWN,"TURQUOISE explicitly forbids collapse"
GEEL_ADD,LC-RM-SATGURU,Satguru Swami Cave / Alamarathu Guhai,Arunachala,R2,NEW_ID_REQUIRED_PENDING_DEDUP,DISTINCT_SITE_IN_CLUSTER,UNKNOWN,""
GEEL_ADD,LC-RM-GUHAINAMA,Guhai Namasivaya Cave/Temple,Arunachala,R2,NEW_ID_REQUIRED_PENDING_DEDUP,DISTINCT_SITE_IN_CLUSTER,UNKNOWN,""
GEEL_ADD,LC-RM-TORTOISE,Tortoise Rock/Tortoise Cave,Arunachala,R2,NEW_ID_REQUIRED_PENDING_DEDUP,DISTINCT_SITE_IN_CLUSTER,UNKNOWN,""
GEEL_ADD,LC-RM-SEVENSPRINGS,Seven Springs / Ezhu Sunai,Arunachala,R2,NEW_ID_REQUIRED_PENDING_DEDUP,DISTINCT_SITE_IN_CLUSTER,UNKNOWN,""
GEEL_ADD,LC-RM-RAMANASRAMAM,Sri Ramanasramam parent,Tiruvannamalai,R1,SAME_AS_OLD31-13__NO_DUPLICATE_ID,SAME_SITE_CROSS_PERSON,UNKNOWN,""
GEEL_ADD,LC-RM-MOTHER,Mother tomb/shrine,Sri Ramanasramam,R1,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_RAMANASRAMAM,UNKNOWN,""
GEEL_ADD,LC-RM-OLDHALL,Old Hall,Sri Ramanasramam,R1,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_RAMANASRAMAM,UNKNOWN,""
GEEL_ADD,LC-RM-KITCHEN,historic ashram kitchen,Sri Ramanasramam,R2,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_RAMANASRAMAM,UNKNOWN,""
GEEL_ADD,LC-RM-MATHRU,Mathrubhuteswara inner shrine,Sri Ramanasramam,R1,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_RAMANASRAMAM,UNKNOWN,""
GEEL_ADD,LC-RM-NEWHALL,New Hall,Sri Ramanasramam,R1,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_RAMANASRAMAM,UNKNOWN,""
GEEL_ADD,LC-RM-NIRVANA,Nirvana Room,Sri Ramanasramam,R1,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_RAMANASRAMAM,UNKNOWN,""
GEEL_ADD,LC-RK-DAK-PARENT,Dakshineswar temple-garden complex,Kolkata metro,R1,SAME_AS_OLD31-21__NO_DUPLICATE_ID,PARENT_COMPLEX,UNKNOWN,""
GEEL_ADD,LC-RK-DAK-ROOM,Sri Ramakrishna room,Dakshineswar,R1,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_DAKSHINESWAR,UNKNOWN,""
GEEL_ADD,LC-RK-DAK-PANCHAVATI,Panchavati grove,Dakshineswar,R1,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_DAKSHINESWAR,UNKNOWN,""
GEEL_ADD,LC-RK-DAK-BEL,Bilva/Bel tree sadhana site,Dakshineswar,R1,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_DAKSHINESWAR,UNKNOWN,""
GEEL_ADD,LC-RK-FOUZDAR,Fouzdar Kunj building,Vrindavan,R1,NEW_ID_REQUIRED_PENDING_DEDUP,PARENT_OF_ROOM_VERANDA,UNKNOWN,""
GEEL_ADD,LC-RK-FOUZDAR-ROOM,upper room used by Ramakrishna,Vrindavan,R2,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_FOUZDAR,UNKNOWN,""
GEEL_ADD,LC-RK-FOUZDAR-VERANDA,semicircular veranda,Vrindavan,R2,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_FOUZDAR,UNKNOWN,""
GEEL_ADD,LC-RK-NIDHIVAN,Nidhivan grove,Vrindavan,R1,NEW_ID_REQUIRED_PENDING_DEDUP,DISTINCT_FROM_GANGA_MATA_HUT,UNKNOWN,""
GEEL_ADD,LC-RK-GANGAMATA-HUT,historic Ganga Mata kutiya footprint,Vrindavan,R2,NEW_ID_REQUIRED_PENDING_DEDUP,HISTORIC_PARENT_OF_SUCCESSOR,UNKNOWN,""
GEEL_SUCCESSOR,LC-RK-GANGAMATA-SUCCESSOR,Kanpurwali Dharam Shala / Batala Ashrama successor,Vrindavan,R2,NEW_ID_REQUIRED_PENDING_DEDUP,SUCCESSOR_NOT_LIFETIME_BUILDING,UNKNOWN,""
GEEL_ADD,LC-RK-BALARAM,Balaram Bose house / Balaram Mandir,Kolkata,R1,NEW_ID_REQUIRED_PENDING_DEDUP,PARENT_OF_SHRINE_ROOM,UNKNOWN,""
GEEL_ADD,LC-RK-SHYAMPUKUR,Shyampukur Bati,Kolkata,R1,NEW_ID_REQUIRED_PENDING_DEDUP,PARENT_OF_FIRST_FLOOR_ROOM,UNKNOWN,""
GEEL_ADD,LC-RK-SHYAMPUKUR-ROOM,Master first-floor room,Kolkata,R2,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_SHYAMPUKUR,UNKNOWN,""
GEEL_ADD,LC-RK-COSSIPORE-HOUSE,Cossipore Garden House,Kolkata,R1,SAME_AS_OLD31-22__NO_DUPLICATE_ID,PARENT_OF_FINAL_ROOM,UNKNOWN,""
GEEL_ADD,LC-RK-COSSIPORE-ROOM,Master upstairs final room,Kolkata,R1,NEW_ID_REQUIRED_PENDING_DEDUP,CHILD_OF_COSSIPORE,UNKNOWN,""
GEEL_ADD,LC-RK-COSSIPORE-GHAT,Cossipore cremation ghat,Kolkata,R3,NEW_ID_REQUIRED_PENDING_DEDUP,DISTINCT_FROM_COSSIPORE_HOUSE,UNKNOWN,""
GEEL_FEED_REMAINDER,GEEL-R4-R5-REMAINDER,All remaining GEEL R4/R5 entities,multiple,R4_R5,DEPENDENCY_ENTITY_CLOSURE,LOSSLESS_SOURCE_FEED,UNKNOWN,"Retained by reference to GEEL source commit 30486eaf3478057246727a56fd5fb8a5b22a1189; no R4/R5 finding is dropped or assigned guessed coordinates"
