surface_type,ref_or_commit,path_or_identifier,blob_sha_or_comment_id,size_if_known,semantic_type,read_status,duplicate_of,relevance,currentness_class,superseded_by,conflict_id,knowledge_output_destination,notes
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiablauw-trip-ops-prep/runs/active/INDIABLAUW-TRIP-OPS-PREP-001/WINTER_ACCESS_RISK.md,56686f53cf58ef1dcd903c69927e757b3222430b,4396,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiablauw-trip-ops-prep/runs/active/INDIABLAUW-VISA-READY-PACK-001/PHOTO_PASSPORT_SPEC.md,71239338567aba6ce68999f0770b204c19514e8c,3204,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiablauw-trip-ops-prep/runs/active/INDIABLAUW-VISA-READY-PACK-001/STATUS.md,f5fc87840f40a2e347668b2bbb11036e79a320b6,1987,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiablauw-trip-ops-prep/runs/active/INDIABLAUW-VISA-READY-PACK-001/TASK.md,b1e11287ce62e7f3a86d8c6e00336b6391201b17,1728,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiablauw-trip-ops-prep/runs/active/INDIABLAUW-VISA-READY-PACK-001/VISA_APPLICATION_CHECKLIST.md,cc8b759c4f156eaeeb154670c08cfc411d496068,3937,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiablauw-trip-ops-prep/runs/active/INDIABLAUW-VISA-READY-PACK-001/VISA_FORM_FIELD_PREP.md,901c52b4c4de618b496edd862df20116a4fe932b,7070,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiablauw-trip-ops-prep/runs/active/INDIABLAUW-VISA-READY-PACK-001/VISA_READY_STATUS.md,719d366ee5502967c1f4485517be073b2ec6d23c,3130,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiablauw-trip-ops-prep/runs/active/INDIABLAUW-VISA-READY-PACK-001/VISA_SCAM_GUARD.md,074026f219d010242c30037dbbb20ca51ba0873a,3160,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiablauw-trip-ops-prep/runs/active/INDIABLAUW-VISA-READY-PACK-001/VISA_TIMING_RECOMMENDATION.md,11a1534ad1e6c72d98b0cbcc2728d6eac9b265b1,3255,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiagoud-nonperson-anchor-audit/runs/active/INDIAGOUD-NONPERSON-ANCHOR-AUDIT-001/35_DAY_CAPACITY_IMPACT.md,307112f582ec76b316130b0f89f43b1ef1c4cfb5,6224,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiagoud-nonperson-anchor-audit/runs/active/INDIAGOUD-NONPERSON-ANCHOR-AUDIT-001/BUDDHIST_SPINE_AUDIT.md,65ed4541f01c1a82fb34280bfdd08fc9540ca85b,5623,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiagoud-nonperson-anchor-audit/runs/active/INDIAGOUD-NONPERSON-ANCHOR-AUDIT-001/MASTER_CLUSTER_UNION_INPUT.md,a56f37f0c46aa15b0f262c01522e9b58155ad2c8,8024,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiagoud-nonperson-anchor-audit/runs/active/INDIAGOUD-NONPERSON-ANCHOR-AUDIT-001/MISSING_FROM_PERSON_HEATMAP.md,b5849ce968447b6bdd2bfe3b3a10d6d5cac728fb,5348,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiagoud-nonperson-anchor-audit/runs/active/INDIAGOUD-NONPERSON-ANCHOR-AUDIT-001/NONPERSON_ANCHOR_INVENTORY.md,4eef77dec3c2f68755da98c054f30794737ff6d6,5766,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiagoud-nonperson-anchor-audit/runs/active/INDIAGOUD-NONPERSON-ANCHOR-AUDIT-001/STATUS.md,46a42d8fa703ad4805bcf8083b63989d093ae3c3,2054,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiagoud-nonperson-anchor-audit/runs/active/INDIAGOUD-NONPERSON-ANCHOR-AUDIT-001/TASK.md,bf8470d3c0cc468b173b74ef902ebe9861402b65,3080,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-HERITAGE-STAY-OVERRIDE-001/CURRENT_EXISTENCE_AND_BOOKABILITY.md,7422780bbeab0befe4a43e663365521025673d33,8958,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-HERITAGE-STAY-OVERRIDE-001/EXISTING_HOTEL_OVERRIDE_MATRIX.md,db468d499488fe465794c3038d015dc7477a5a78,5137,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-HERITAGE-STAY-OVERRIDE-001/HERITAGE_STAY_CANDIDATES.md,f0a47999982f767077da69a171a01bd95b09e9ce,13749,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-HERITAGE-STAY-OVERRIDE-001/MARK_HOTEL_REVIEW_QUEUE.md,2395079f7b591f1202a6ab5f3331ae759d42a43f,7301,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-HERITAGE-STAY-OVERRIDE-001/ROOM_LEVEL_LEADS.md,935a63feab27161f9504e7793a3a9ba27beb525f,6804,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-HERITAGE-STAY-OVERRIDE-001/STATUS.md,11e310500d355065784383279f6f9542a9ca33e9,3402,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-HERITAGE-STAY-OVERRIDE-001/TASK.md,71c9892645e92071f2aad8c11c7e217fc39ea9d9,2926,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-MASTER-TRAVEL-READINESS-001/HIGH_IMPACT_GAPS.md,876192dbe8273f4732015a51eb367da14081aeac,5141,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-MASTER-TRAVEL-READINESS-001/MARK_DECISION_QUEUE_DRAFT.md,b6995273d6fe0dc121a011b1b48e712def4d6f39,4576,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-MASTER-TRAVEL-READINESS-001/MASTER_HEATMAP_INPUT.md,a9b7e9bc1b2e0326cdd89a091b24154ef73d8f52,7062,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-MASTER-TRAVEL-READINESS-001/MASTER_TRAVEL_READINESS.md,da90dce0176207ee97b5eff46d2fd88c1f525edc,7977,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-MASTER-TRAVEL-READINESS-001/NEXT_EXECUTION_MAP.md,b63c4a113c824f4b83e63bd8a1640dbb8b519f0f,6884,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-MASTER-TRAVEL-READINESS-001/STATUS.md,75e72d9c691f03bdcb3bab7c37ab7889489f0ef8,2383,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-MASTER-TRAVEL-READINESS-001/TASK.md,30d406f095b76960e3e72e394b671134849c46fc,3069,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-REVERSE-CLUSTER-REOPEN-001/STATUS.md,8e264bfec4f38cb6061a3d7798179e9928eb1b7d,577,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-REVERSE-CLUSTER-REOPEN-001/TASK.md,856f3c153bc990eb683a6e72b0d99448c9c21c0d,3368,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiazilver-cluster-completeness-audit/runs/active/INDIAZILVER-CLUSTER-COMPLETENESS-AUDIT-001/ABC_REVIEW_QUEUE.md,263489787e4cb04601d2ea6fba175bece6c595f8,5029,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiazilver-cluster-completeness-audit/runs/active/INDIAZILVER-CLUSTER-COMPLETENESS-AUDIT-001/CLUSTER_RECALL_AUDIT.md,084717598f6599251b4d0eab3b36a9fcb1c5da9c,4165,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiazilver-cluster-completeness-audit/runs/active/INDIAZILVER-CLUSTER-COMPLETENESS-AUDIT-001/COMPLETENESS_GATE.md,2fe87e3af2d8081bbb11de582ca417d7bcdb2f66,4811,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiazilver-cluster-completeness-audit/runs/active/INDIAZILVER-CLUSTER-COMPLETENESS-AUDIT-001/MISSED_NEARBY_RISK.md,ffd0a2295a8a669bce29b6f528d89d627ceb9853,4447,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiazilver-cluster-completeness-audit/runs/active/INDIAZILVER-CLUSTER-COMPLETENESS-AUDIT-001/REOPEN_AND_ID_QUEUE.md,2709b13e71ec7497fd9b18190e67674523ab0d8a,6642,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiazilver-cluster-completeness-audit/runs/active/INDIAZILVER-CLUSTER-COMPLETENESS-AUDIT-001/STATUS.md,15e6378dbc3c746505a11fc0fc3bea4fd8be13e4,1786,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiazilver-cluster-completeness-audit/runs/active/INDIAZILVER-CLUSTER-COMPLETENESS-AUDIT-001/TASK.md,59822e2ec502a07e0d07ce0d2504e6c20e791448,4022,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiazilver-cluster-completeness-audit/runs/active/INDIAZILVER-CLUSTER-COMPLETENESS-AUDIT-001/TOP_REOPEN_PRIORITIES.md,79ba154303a097bab50e460c2e1f4d1ef67a79b0,4525,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/claude__werk-je-nu-of-niet-oa10y7/runs/active/INDIA8-STRATEGIC-ARCHITECTURE-REVIEW-001/STATUS.md,4b722f3640b16909fb1c2f7a70a4b97e7fd2bf0a,604,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/claude__werk-je-nu-of-niet-oa10y7/runs/active/INDIA8-STRATEGIC-ARCHITECTURE-REVIEW-001/STRATEGIC_ARCHITECTURE_REVIEW.md,2058080964adce1b1bf5d5270da640db8c818052,28193,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,decisions/ARUNACHALA_TIRUVANNAMALAI_A_ANCHOR_2026-08-18.md,9a32f13c271b5a83b77a879997bf31ac213158cf,1614,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,decisions/BABAJI_MYTHIC_FIGURE_EVIDENCE_RULE_2026-08-19.md,6f9893be1ffcef976c5361e1683f494190a92467,3139,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,decisions/EAST_ROUTE_FAMILY_SKIPPED_BY_MARK_2026-08-19.md,9b72be557424fced6a4612f1a8cdb7b0a3642c81,1259,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,decisions/INDIA_REGIE_ALWAYS_EXPLICIT_NEXT_ACTION_2026-08-19.md,58d28beb38b86c8c01ba6d2957afe2283c558f67,1218,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,decisions/REVERSE_DISCOVERY_REOPEN_RULE_2026-08-19.md,84d34d6ad11c317ac7b1dbdc74f143e4f2fe7017,3138,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,decisions/TOP11_SWEEP_DEPTH_BY_PERSON_2026-08-18.md,31ad2f4fe7d86876dde3e7ed1f871a3d22f95743,3898,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,decisions/VRINDAVAN_BRAJ_CLUSTER_DROPPED_BY_MARK_2026-08-26.md,a58ecf76ad2c4f4348a348a2ce00ec396ddf9bcd,2405,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/ABC_SEMANTIC_LABEL_RULE_2026-08-23.md,6e6376917791c3efdbeb501d8adbc880bab9c622,1759,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/ACTIVE_FRAMEWORK.md,d2971c925ffa62221edeb050b466a2d6122c0f71,2046,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/ACTIVE_STATE.md,97948fa3e0193c6f0c3dd2a2c5cd60b367b461ad,18029,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/ANANDAMAYI_YOGANANDA_PHOTO_OVERRIDE_2026-08-20.md,a0c7e5467030ff723640076f1e327d22f193ebb7,1739,markdown_prose,READ_FULL,,HIGH,MIXED_SEE_ATOMS,,,KNOWLEDGE_ATOMS.jsonl,"frozen central tree, TASK.md 2.1"
