semantic_label,grade,cluster,parent_site,latitude,longitude,geo_status,google_maps_url_or_google_official_map_source,identity_evidence,visitability_note,conflict_note
Bhumiadhar/Bhumiyadhar temple terrain,A,Kumaon-Nainital,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon only,"Site of Ram Dass' first meeting with Neem Karoli Baba, 1967",Not closed this pass
"Hanuman Garhi/Hanumangarh, Nainital",A,Kumaon-Nainital,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon only,Temple above Nainital,Not closed this pass
Naina Peak / Cheena Peak,A-on-ground,Kumaon-Nainital,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon + CCI Lonely Planet North discovery,Mountain viewpoint walk from Nainital centre,
Sakley's Restaurant & Pastry Shop,A micro-stop,Kumaon-Nainital,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon + CCI Lonely Planet North discovery,"Central Nainital, Mall Road area",
Jim Corbett National Park,C,Kumaon-Nainital,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon,"Major wildlife excursion, C-grade, not route driver",
Kankhal (Anandamayi Ma Mahasamadhi Ashram),A strong,Rishikesh-Haridwar-Kankhal,,29.93,78.15,ADDRESS_CONFIRMED_MARKER_NOT_CLOSED,"Wikipedia town-level coordinate for Kankhal locality only, not the specific ashram building",anandamayi.org ashram-contact-details page confirms Kankhal ashram exists but exact building coordinate not extracted this pass,"Active ashram containing Ma's samadhi, continuing veneration",Town-level only; ashram-specific pin not closed this pass -- recommend a follow-up fetch of anandamayi.org's own address page
Har Ki Pauri Ganga Aarti,A-light,Rishikesh-Haridwar-Kankhal,,29.95667,78.17083,EXACT_GOOGLE_MAPS_MARKER,https://en.wikipedia.org/wiki/Har_Ki_Pauri (Wikipedia infobox coordinate),"Wikipedia-sourced precise coordinate, consistent across multiple independent tourism sources","Public ghat, twice-daily aarti (~06:00 and ~18:00, seasonal shift)",
Mathura Walo Ki Pracheen Dukan (Moti Bazaar mithai shop),ungraded micro-gem,Rishikesh-Haridwar-Kankhal,,,,ZONE_ONLY,not independently re-verified this pass,CCI Lonely Planet second-opinion sweep only,"Old Moti Bazaar shop, rides on Har Ki Pauri visit",
Beatles Ashram / former Maharishi Mahesh Yogi Ashram,A-light,Rishikesh-Haridwar-Kankhal,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon + CCI Lonely Planet North discovery,"Rishikesh, Swargashram side; forest ashram ruins",See operational blockers: 2026 construction complaints noted in repo
Shivpuri-Rishikesh white-water rafting,B,Rishikesh-Haridwar-Kankhal,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon (HARIDWAR_RISHIKESH_LIGHT_A_RULE),"Adventure activity, ~19 km upstream shuttle",Present in decision canon as B but absent from V2's day-by-day 29-31 Dec list -- see Task A silent-drop finding
"Parmarth Niketan Ashram, Swarg Ashram (provisional New Year sleep base)",base/provisional,Rishikesh-Haridwar-Kankhal,,,,ADDRESS_CONFIRMED_MARKER_NOT_CLOSED,"not independently re-verified this pass; well-known named ashram at Swarg Ashram, Rishikesh riverfront",Existing repo canon names it as first-choice New Year base with announced retreat 30 Dec-1 Jan,"Ganges-bank ashram, official individual room reservations exist per repo canon",Not Mark-booking-locked
Taj Mahal,A,Agra,,27.1750,78.0419,EXACT_GOOGLE_MAPS_MARKER,https://en.wikipedia.org/wiki/Taj_Mahal (Wikipedia infobox coordinate),"UNESCO World Heritage Site, universally documented precise coordinate",Closed Fridays -- see operational blockers,
Vrindavan Railway Station,A,Vrindavan-Braj,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon (AOAY Yogananda arrival scene),Working railway station,
Madan Mohan Temple (Radha Madan Mohan Temple),A,Vrindavan-Braj,,27.57976,77.69051,GEO_CONFLICT,"WebSearch returned an IDENTICAL coordinate pair for both Madan Mohan Temple and Banke Bihari Temple, which are two distinct temples several hundred metres apart in Vrindavan","Likely a search-summarization duplication error, not independently confirmed against each temple's own Wikipedia infobox individually","Old Krishna temple, Yogananda AOAY episode site",DO NOT USE THIS PAIR AS-IS -- re-verify each temple's coordinate individually before any map/KML build; flagged per the hard rule against promoting an unverified pin
Katyayani Peeth / Keshabananda Ashram,A,Vrindavan-Braj,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon: '~1-3km from Vrindavan station depending source/entrance',"Historic ashram, Yogananda visit site",Distance range itself is a source-conflict signal already noted in repo -- not newly resolved this pass
Neem Karoli Baba Vrindavan Ashram + Mahasamadhi,A,Vrindavan-Braj,,,,ZONE_ONLY,not independently re-verified this pass,"Existing repo canon: 'Baba Neeb Karori Marg / Atalla Chungi Road, Gaushala Nagar / Parikrama Marg side'",Active ashram with Maharajji's resting place,Address description exists in repo text but no lat/lon extracted this pass
Yamuna River / selected Vrindavan ghat,A,Vrindavan-Braj,,,,ZONE_ONLY,not independently re-verified this pass,"Existing repo canon, exact ghat not yet chosen",River experience,Which specific ghat (Keshi Ghat per CCI Lonely Planet find) not yet locked
Banke Bihari Temple,A,Vrindavan-Braj,,27.57976,77.69051,EXACT_GOOGLE_MAPS_MARKER,https://en.wikipedia.org/wiki/Banke_Bihari_Temple (Wikipedia infobox coordinate),Wikipedia-sourced precise coordinate,"Major, very crowded Krishna temple",See GEO_CONFLICT note on Madan Mohan Temple row -- verify these are not accidentally identical
Fouzdar Kunj,A,Vrindavan-Braj,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon only,"Historic house/veranda, Ramakrishna Braj visit",Not closed this pass
Nidhivan,A,Vrindavan-Braj,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon only,"Sacred grove, Ramakrishna layer",Not closed this pass
Anandamayi Ma Vrindavan Ashram,A,Vrindavan-Braj,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon only,"Active ashram, Ma's own presence established",Not closed this pass
Ganga Mata historic hut-site,B,Vrindavan-Braj,Nidhivan,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon only,Ride-along only if essentially free beside Nidhivan,
"Krishna Janmabhoomi, Mathura",B,Vrindavan-Braj,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon; well-known major complex,"Heavily secured, extremely crowded",
Mathura Railway Station (NKB last-journey context),C,Vrindavan-Braj,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon only,"Working station, not contemplative site",
Triveni Sangam,A,Prayagraj,,25.431,81.885,EXACT_GOOGLE_MAPS_MARKER,https://en.wikipedia.org/wiki/Triveni_Sangam (Wikipedia infobox coordinate),Wikipedia-sourced precise coordinate for the confluence area at Prayag,Boat access; crowd/season-sensitive,
Akshayavat,A,Prayagraj,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon only,"Inside Allahabad Fort/Patalpuri area, restricted-access military zone",Access itself is an operational blocker -- see Task C
Bade/Lete Hanuman Ji,A,Prayagraj,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon only,Reclining Hanuman shrine near Sangam,
Bharadwaj Ashram,B,Prayagraj,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon only,Sage Bharadwaj ashram/temple,
"Indian Coffee House, Prayagraj",ungraded micro-gem,Prayagraj,,,,ZONE_ONLY,not independently re-verified this pass,CCI Lonely Planet second-opinion sweep only,"1957 institution, Civil Lines area",
"Hari Ram & Sons, Prayagraj",ungraded micro-gem,Prayagraj,,,,ZONE_ONLY,not independently re-verified this pass,CCI Lonely Planet second-opinion sweep only,Old namkeen shop,
"Sahi River View Guesthouse, Assi Ghat (LOCKED_BY_MARK base)",A/base,Varanasi,,,,ADDRESS_CONFIRMED_MARKER_NOT_CLOSED,"canon PROTECTED_CANON_BASELINE.csv VNS-HOTEL-001, textual address only, no lat/lon in canon","Locked by Mark, textual address confirmed",Balcony room preference; contact Jitendre,"Canon itself never closed this to a coordinate -- inherited gap, not newly created"
Lahiri Mahasaya Samadhi / Satyalok,A,Varanasi,,25.3028,83.0074,ADDRESS_CONFIRMED_MARKER_NOT_CLOSED,"canon PROTECTED_CANON_BASELINE.csv id 001, status WORKING_PIN_25_100M","Reused verbatim from existing canon, not re-verified this pass",,
Lahiri Mahasaya original home,A,Varanasi,Lahiri Mahasaya Samadhi,25.3018,83.0068,ADDRESS_CONFIRMED_MARKER_NOT_CLOSED,"canon PROTECTED_CANON_BASELINE.csv id 002, status WORKING_PIN_25_100M",Reused verbatim from existing canon,,
Rana Mahal Ghat / historic ashram layer,A,Varanasi,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon only,Yogananda-Sri Yukteswar history,
Dashashwamedh Ghat,A,Varanasi,,,,ZONE_ONLY,"not independently re-verified this pass; well-known major ghat, precise pin not extracted this pass",Existing repo canon + general knowledge,"Major ghat, Babaji-Mataji-Lahiri story layer, evening aarti",
Panchganga / Trailanga Swami site,A,Varanasi,,25.3188,83.013,ADDRESS_CONFIRMED_MARKER_NOT_CLOSED,"canon PROTECTED_CANON_BASELINE.csv id 004, status WORKING_PIN_25_100M",Reused verbatim from existing canon,,
Manikarnika Ghat,A,Varanasi,,25.3109,83.0142,ADDRESS_CONFIRMED_MARKER_NOT_CLOSED,"canon PROTECTED_CANON_BASELINE.csv id 003, status WORKING_PIN_25_100M",Reused verbatim from existing canon,,
Anandamayi Ma Bhadaini Ashram,A,Varanasi,,25.2897,83.0068,ADDRESS_CONFIRMED_MARKER_NOT_CLOSED,"canon PROTECTED_CANON_BASELINE.csv id 005, status WORKING_PIN_25_100M",Reused verbatim from existing canon,,
Kabir Chaura,A,Varanasi,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon only,Kabir monastery/life-tradition area,
Assi Ghat,A,Varanasi,,,,ZONE_ONLY,not independently re-verified this pass; adjacent to locked hotel,Existing repo canon only,Southern ghat beside Sahi River View Guesthouse,
"Sarnath (Ancient Buddhist Site, UNESCO since 25 Jul 2026)",A,Varanasi,,25.3811,83.0214,ADDRESS_CONFIRMED_MARKER_NOT_CLOSED,"canon PROTECTED_CANON_BASELINE.csv id 006 (Sarnath sacred complex), status WORKING_PIN_25_100M",Reused verbatim from existing canon,Now UNESCO World Heritage (2026-07-25) per CCI Lonely Planet Ganges South sweep,
"Shreyansanath Jain Tirth, Sarnath",A,Varanasi,Sarnath,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon only,Rides on Sarnath day,
Adi Keshava Ghat,A,Varanasi,,,,ZONE_ONLY,not independently re-verified this pass,canon PROTECTED_CANON_BASELINE.csv id 045: UNKNOWN_NOT_GEO_VERIFIED,Varuna-Ganges confluence,Inherited canon gap
Kedar Ghat / Kedareshwar Temple,B,Varanasi,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon only,,
Sankatha Devi Temple / Ghat,B,Varanasi,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon only,,
"Parshvanath Digambar Jain Temple, Bhelupur",B,Varanasi,,,,ZONE_ONLY,not independently re-verified this pass,canon PROTECTED_CANON_BASELINE.csv id 041: UNKNOWN_NOT_GEO_VERIFIED,Low priority per Mark,
"Suparshvanath Jain Tirth, Bhadaini",B,Varanasi,,,,ZONE_ONLY,not independently re-verified this pass,canon PROTECTED_CANON_BASELINE.csv id 042: UNKNOWN_NOT_GEO_VERIFIED,Low priority per Mark,
Ramnagar Fort,B,Varanasi,,,,ZONE_ONLY,not independently re-verified this pass,"canon PROTECTED_CANON_BASELINE.csv id 044: UNKNOWN_NOT_GEO_VERIFIED, 'identity review needed'","Across the river, museum","Pre-existing identity-review flag in canon, not resolved this pass"
Bharat Kala Bhavan (BHU museum),ungraded,Varanasi,,,,ZONE_ONLY,not independently re-verified this pass,"CCI Lonely Planet gap-check finding, still pending Mark decision",On BHU campus,"Silent-visibility risk -- see Task A: acknowledged in V1, unmentioned in V2"
Mahabodhi Temple Complex,A,Bodh Gaya,,24.6959222,84.9914193,EXACT_GOOGLE_MAPS_MARKER,"canon PROTECTED_CANON_BASELINE.csv id 046, status CONFIRMED_EXACT_ENTITY (BODHGAYA ZILVER-Z01)","Reused verbatim from existing canon, UNESCO site",,
Bodhi Tree,A,Bodh Gaya,Mahabodhi Temple Complex,24.6959222,84.9914193,EXACT_GOOGLE_MAPS_MARKER,same complex as canon id 046,"Within the Mahabodhi complex, not a separate coordinate",,
"Sujata Stupa, Bakraur",A,Bodh Gaya,,24.6979887,85.0033228,EXACT_GOOGLE_MAPS_MARKER,"canon PROTECTED_CANON_BASELINE.csv id 047, status CONFIRMED_EXACT_ENTITY (BODHGAYA ZILVER-Z01)",Reused verbatim from existing canon,,
Great Buddha Statue,B,Bodh Gaya,,,,ZONE_ONLY,not independently re-verified this pass,canon PROTECTED_CANON_BASELINE.csv id 049: UNKNOWN_NO_CONFIRMED_MARKER,"Large modern statue, should be an easy close -- inherited canon gap",Worth flagging: a 25m statue lacking any confirmed marker even after a dedicated ZILVER geo pass is itself notable
Dungeshwari/Mahakala Cave Temples,C,Bodh Gaya,,,,ZONE_ONLY,not independently re-verified this pass,canon PROTECTED_CANON_BASELINE.csv id 048: UNKNOWN_NO_CONFIRMED_MARKER,,
Barabar/Nagarjuni Caves,C,Bodh Gaya,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon only,,
Gurpa Hill,C,Bodh Gaya,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon only,,
"Sri Ram Tilkut Bhandar, Gaya",ungraded micro-gem,Bodh Gaya,,,,ZONE_ONLY,not independently re-verified this pass,CCI Lonely Planet second-opinion sweep only,"Historic sweets shop, 1911",
Sri Ramanasramam,A,Tiruvannamalai,,12.2241,79.0568,EXACT_GOOGLE_MAPS_MARKER,https://en.wikipedia.org/wiki/Sri_Ramana_Ashram (Wikipedia infobox coordinate),Wikipedia-sourced precise coordinate,"Old Hall, Samadhi, Mother's Shrine, Nirvana Room inside",
Virupaksha Cave,A,Tiruvannamalai,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon only,Hill path from Ramanasramam side,
Skandashram,A,Tiruvannamalai,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon only,Hill path above Virupaksha Cave,
Arunachaleswarar Temple,A,Tiruvannamalai,,12.2316,79.0672,EXACT_GOOGLE_MAPS_MARKER,Wikipedia infobox coordinate,Wikipedia-sourced precise coordinate,"Huge temple complex, ~3km from Ramanasramam",
Gurumurtam,A,Tiruvannamalai,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon only,Early shrine where young Ramana lived,
Pavalakunru,A,Tiruvannamalai,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon only,Small hill shrine,
Girivalam / Giripradakshina,A experience,Tiruvannamalai,,,,ZONE_ONLY,not independently re-verified this pass,Existing repo canon only,"14km circumambulation path, not a single point",
