current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-MASTER-TRAVEL-READINESS-001/TASK.md,30d406f095b76960e3e72e394b671134849c46fc,3069,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-REVERSE-CLUSTER-REOPEN-001/STATUS.md,8e264bfec4f38cb6061a3d7798179e9928eb1b7d,577,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiawit-master-travel-readiness/runs/active/INDIAWIT-REVERSE-CLUSTER-REOPEN-001/TASK.md,856f3c153bc990eb683a6e72b0d99448c9c21c0d,3368,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiazilver-cluster-completeness-audit/runs/active/INDIAZILVER-CLUSTER-COMPLETENESS-AUDIT-001/ABC_REVIEW_QUEUE.md,263489787e4cb04601d2ea6fba175bece6c595f8,5029,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiazilver-cluster-completeness-audit/runs/active/INDIAZILVER-CLUSTER-COMPLETENESS-AUDIT-001/CLUSTER_RECALL_AUDIT.md,084717598f6599251b4d0eab3b36a9fcb1c5da9c,4165,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiazilver-cluster-completeness-audit/runs/active/INDIAZILVER-CLUSTER-COMPLETENESS-AUDIT-001/COMPLETENESS_GATE.md,2fe87e3af2d8081bbb11de582ca417d7bcdb2f66,4811,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiazilver-cluster-completeness-audit/runs/active/INDIAZILVER-CLUSTER-COMPLETENESS-AUDIT-001/MISSED_NEARBY_RISK.md,ffd0a2295a8a669bce29b6f528d89d627ceb9853,4447,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiazilver-cluster-completeness-audit/runs/active/INDIAZILVER-CLUSTER-COMPLETENESS-AUDIT-001/REOPEN_AND_ID_QUEUE.md,2709b13e71ec7497fd9b18190e67674523ab0d8a,6642,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiazilver-cluster-completeness-audit/runs/active/INDIAZILVER-CLUSTER-COMPLETENESS-AUDIT-001/STATUS.md,15e6378dbc3c746505a11fc0fc3bea4fd8be13e4,1786,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiazilver-cluster-completeness-audit/runs/active/INDIAZILVER-CLUSTER-COMPLETENESS-AUDIT-001/TASK.md,59822e2ec502a07e0d07ce0d2504e6c20e791448,4022,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/agent__indiazilver-cluster-completeness-audit/runs/active/INDIAZILVER-CLUSTER-COMPLETENESS-AUDIT-001/TOP_REOPEN_PRIORITIES.md,79ba154303a097bab50e460c2e1f4d1ef67a79b0,4525,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/claude__werk-je-nu-of-niet-oa10y7/runs/active/INDIA8-STRATEGIC-ARCHITECTURE-REVIEW-001/STATUS.md,4b722f3640b16909fb1c2f7a70a4b97e7fd2bf0a,604,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,archive/india9-branch-only-semantic-2026-08-23/claude__werk-je-nu-of-niet-oa10y7/runs/active/INDIA8-STRATEGIC-ARCHITECTURE-REVIEW-001/STRATEGIC_ARCHITECTURE_REVIEW.md,2058080964adce1b1bf5d5270da640db8c818052,28193,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,decisions/ARUNACHALA_TIRUVANNAMALAI_A_ANCHOR_2026-08-18.md,9a32f13c271b5a83b77a879997bf31ac213158cf,1614,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,decisions/BABAJI_MYTHIC_FIGURE_EVIDENCE_RULE_2026-08-19.md,6f9893be1ffcef976c5361e1683f494190a92467,3139,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,decisions/EAST_ROUTE_FAMILY_SKIPPED_BY_MARK_2026-08-19.md,9b72be557424fced6a4612f1a8cdb7b0a3642c81,1259,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,decisions/INDIA_REGIE_ALWAYS_EXPLICIT_NEXT_ACTION_2026-08-19.md,58d28beb38b86c8c01ba6d2957afe2283c558f67,1218,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,decisions/REVERSE_DISCOVERY_REOPEN_RULE_2026-08-19.md,84d34d6ad11c317ac7b1dbdc74f143e4f2fe7017,3138,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,decisions/TOP11_SWEEP_DEPTH_BY_PERSON_2026-08-18.md,31ad2f4fe7d86876dde3e7ed1f871a3d22f95743,3898,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,decisions/VRINDAVAN_BRAJ_CLUSTER_DROPPED_BY_MARK_2026-08-26.md,a58ecf76ad2c4f4348a348a2ce00ec396ddf9bcd,2405,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/ABC_SEMANTIC_LABEL_RULE_2026-08-23.md,6e6376917791c3efdbeb501d8adbc880bab9c622,1759,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/ACTIVE_FRAMEWORK.md,d2971c925ffa62221edeb050b466a2d6122c0f71,2046,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/ACTIVE_STATE.md,97948fa3e0193c6f0c3dd2a2c5cd60b367b461ad,18029,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/ANANDAMAYI_YOGANANDA_PHOTO_OVERRIDE_2026-08-20.md,a0c7e5467030ff723640076f1e327d22f193ebb7,1739,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/CCI_COLLABORATION_PROTOCOL.md,7e257b40fca656fd7eb5ca91fde7e1dd6b8e6cdc,2162,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/CCI_COLOR_TASK_ROUTING_2026-08-20.md,d126530fe51943f5846e39d9a7c3da3af4b69c6f,2067,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/CCI_GITHUB_WAKE_RELAY.md,a5c4d7ec5255451cacebacef598fd6a5cf2fd3ac,1435,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/CENTRAL_INTEGRATION_REGISTRY.jsonl,c483e5a3afbda6ecaa6a7b0a80a90b36293db048,4291,structured_data,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/CURRENT_DECISIONS_MASTER.md,5bd948fdc393bab1e0fd7eb431782bb66d0c5bad,14865,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/CURRENT_STATE.md,794edc4ae33e65a1b4af37266d993f2085fb7a43,7273,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/DECISION_LEDGER.jsonl,a4383d6c4ba89b6133c8fb49ea12f6887ae8a2ab,22117,structured_data,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/EXTERNAL_AI_PROMPT_RULES.md,1a5fb1529427ebe6848af9a527913b5783fb13a2,1345,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/FINAL_COMFORT_SWEEP_RULE_2026-08-23.md,b41bf4a4dd843d8dc5e687cb5aa5630ad818d018,2068,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/GLOBAL_REGIE_CANON_AUDIT_2026-08-23.md,b2c15af2709119a2b6a180d22c70e59479d185b8,11651,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/HANDOFF_INDIA6_TO_INDIA7_2026-08-19.md,3312cdfa85dd26e6b2be1cb3f9b393e0c121c765,10420,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/INDIA11_RECOVERY_POSTMORTEM_AND_MUST_READ_2026-08-26.md,361ba3283c1b6017a635158efb45921a65a7c143,12342,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/INDIA7_BOOTSTRAP_DELTA_2026-08-18.md,e3d222293323730f329b1910d1ad7c0aec744f62,1836,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/INDIA7_BOOTSTRAP_DELTA_2026-08-19.md,70ce3c36586038d00c50ec5b9593359bf581367f,3004,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/INDIA8_REGIE_READINESS_AUDIT_2026-08-23.md,bf71d0b8a8d3aaf09affe9280caee3af23eeda68,3906,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/INDIA9_CANON_RECONCILIATION_2026-08-23.md,3bebd85de0513aad8250ad29220bd27ff1fd60ea,10729,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/INDIA_CURRENT_KNOWLEDGE_MAP.md,8bf82e467352779705b10455525860fc5126ebf8,12688,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/INDIA_MASTER_BOOT.md,c6b245cbbb8219b5b122bc618b49232f23188156,11464,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/INDIA_RECOVERY_DELTAS_CURRENT.md,a933d014e6eed2e82cac6c735358f3f58b703565,11906,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/INDIA_REGIE_CRITICAL_BOOT_AND_NO_DEFERRAL_2026-08-23.md,ceb3ac8b78ad8fd3f47e852129f3b592d9c0f057,13183,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/INDIA_REGIE_DOORGANGSPROTOCOL_2026-08-20.md,d052c6fd64525f876499b4c05201c1983fca2c4e,6383,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/INDIA_ROUTE_TOPOLOGY_CHECKPOINT_2026-08-26.md,6a5c565bcc32f5a10eaf64d4c86a1090e004ba73,5335,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/INDIA_SESSION_START.md,1f8d145edf8c02e89a4819b29dd8b740be3f96d5,875,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/INDIA_SUCCESSOR_BOOT_PROTOCOL.md,4a537be2343d24e42b15d9d4fa9fc12e5de8bea0,1225,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/KNOWLEDGE_BASELINE_2026-08-23.md,17e97b8a5a663671d9babc1befcd81b94892314b,4813,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/KNOWLEDGE_BASELINE_LATEST.md,24685fcbb53bdfbe2803623ac471765f3cb1a7f5,667,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/LOCATION_RESOLUTION_BEFORE_ABC_2026-08-19.md,33d6ba6df307a94907c3f09a2f23e35063f59ffa,5845,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/LONELY_PLANET_LAYER_RULE_2026-08-22.md,ba1e9ac8f5097b5b649d201ebe4bb2ad9f3108d2,3108,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/MARK_DECISION_PARENT_MICROCLUSTER_RULE_2026-08-20.md,006cbb47663ee8e0f79ca93943de0e63093d068e,1786,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/MARK_HISTORIC_SITE_CONTINUITY_RULE_2026-08-20.md,797070b273bd1da276fe9ea30e9ffcd2ee764f7d,3458,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/MARK_TRAVEL_PREFERENCES_CURRENT.md,13084461b11627626df785464ab8063faa05f13c,20022,markdown_prose,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/PRECEDENCE_MAP.jsonl,c7521ad4521b8155da9edb8c581d72a830da7119,7010,structured_data,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/SEMANTIC_IMPORT_REGISTRY_2026-08-23.jsonl,9f809b1afaa087dc2c691347b8ab4d7ade8ee671,42816,structured_data,UNREAD,,,,,,,
current_tree,a37423639f7dabb0dfd55c8656d4689bb8a25351,governance/SWEEP_ERROR_CLASSES.md,5b74a1636e0531bbfe164caec3f9a4c6d6e51fd6,8053,markdown_prose,UNREAD,,,,,,,
